Dissolved_Oxygen,salinities,,,,,,,,,
10,3.4,,,,,,,,,
7,3.4,,,,,,,,,
9.2,3.4,,,,,,,,,
7.6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
11.4,3.4,,,,,,,,,
11.1,3.4,,,,,,,,,
11,3.4,,,,,,,,,
8.6,3.4,,,,,,,,,
8.9,3.4,,,,,,,,,
14,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10,3.4,,,,,,,,,
7,3.4,,,,,,,,,
9,3.4,,,,,,,,,
11.6,3.4,,,,,,,,,
8.3,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
10.8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
11.5,3.4,,,,,,,,,
10.8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8.5,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
7.2,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
9.7,3.4,,,,,,,,,
7,3.4,,,,,,,,,
13.5,3.4,,,,,,,,,
4.4,3.4,,,,,,,,,
9.6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
13.2,3.4,,,,,,,,,
7.6,3.4,,,,,,,,,
7.2,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10,3.4,,,,,,,,,
8,3.4,,,,,,,,,
10,3.4,,,,,,,,,
10,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
11,3.4,,,,,,,,,
12,3.4,,,,,,,,,
9,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
11,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
8,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
8,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10,3.4,,,,,,,,,
11,3.4,,,,,,,,,
8,3.4,,,,,,,,,
11,3.4,,,,,,,,,
12,3.4,,,,,,,,,
11,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
8,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
11,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
7,3.4,,,,,,,,,
11,3.4,,,,,,,,,
9,3.4,,,,,,,,,
12,3.4,,,,,,,,,
8,3.4,,,,,,,,,
5.5,3.4,,,,,,,,,
9.5,3.4,,,,,,,,,
11.6,3.4,,,,,,,,,
10,3.4,,,,,,,,,
9,3.4,,,,,,,,,
8.2,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
13,3.4,,,,,,,,,
13,3.4,,,,,,,,,
14,3.4,,,,,,,,,
11,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
8,3.4,,,,,,,,,
10,3.4,,,,,,,,,
9,3.4,,,,,,,,,
10,3.4,,,,,,,,,
11,3.4,,,,,,,,,
8.5,3.4,,,,,,,,,
10.4,3.4,,,,,,,,,
11,3.4,,,,,,,,,
9.5,3.4,,,,,,,,,
8,3.4,,,,,,,,,
12.5,3.4,,,,,,,,,
15,3.4,,,,,,,,,
11.2,3.4,,,,,,,,,
9.9,3.4,,,,,,,,,
5.3,3.4,,,,,,,,,
10.7,3.4,,,,,,,,,
11.6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
9.4,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
10.9,3.4,,,,,,,,,
8.2,3.4,,,,,,,,,
12,3.4,,,,,,,,,
5.3,3.4,,,,,,,,,
8.8,3.4,,,,,,,,,
13.1,3.4,,,,,,,,,
11.6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
16,3.4,,,,,,,,,
11.2,3.4,,,,,,,,,
11.2,3.4,,,,,,,,,
6.7,3.4,,,,,,,,,
10.8,3.4,,,,,,,,,
10.4,3.4,,,,,,,,,
6.7,3.4,,,,,,,,,
0,3.4,,,,,,,,,
3.9,3.4,,,,,,,,,
4,3.4,,,,,,,,,
5.9,3.4,,,,,,,,,
4.4,3.4,,,,,,,,,
5.3,3.4,,,,,,,,,
1.9,3.4,,,,,,,,,
9.2,3.4,,,,,,,,,
3.6,3.4,,,,,,,,,
2.6,3.4,,,,,,,,,
3.6,3.4,,,,,,,,,
7.1,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
1.5,3.4,,,,,,,,,
4.4,3.4,,,,,,,,,
1.6,3.4,,,,,,,,,
1.9,3.4,,,,,,,,,
5.9,3.4,,,,,,,,,
6.2,3.4,,,,,,,,,
2.9,3.4,,,,,,,,,
6,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
2.5,3.4,,,,,,,,,
6,3.4,,,,,,,,,
3.5,3.4,,,,,,,,,
8.1,3.4,,,,,,,,,
5,3.4,,,,,,,,,
4.4,3.4,,,,,,,,,
4.9,3.4,,,,,,,,,
2.6,3.4,,,,,,,,,
2.6,3.4,,,,,,,,,
3.9,3.4,,,,,,,,,
3.8,3.4,,,,,,,,,
6.2,3.4,,,,,,,,,
1.2,3.4,,,,,,,,,
3.5,3.4,,,,,,,,,
7,3.4,,,,,,,,,
3.6,3.4,,,,,,,,,
2.9,3.4,,,,,,,,,
2,3.4,,,,,,,,,
5.2,3.4,,,,,,,,,
3.8,3.4,,,,,,,,,
2,3.4,,,,,,,,,
1.6,3.4,,,,,,,,,
3.2,3.4,,,,,,,,,
5.1,3.4,,,,,,,,,
5,3.4,,,,,,,,,
4.9,3.4,,,,,,,,,
4,3.4,,,,,,,,,
1.9,3.4,,,,,,,,,
1.7,3.4,,,,,,,,,
4.4,3.4,,,,,,,,,
4.8,3.4,,,,,,,,,
4.4,3.4,,,,,,,,,
3.9,3.4,,,,,,,,,
4.8,3.4,,,,,,,,,
4.6,3.4,,,,,,,,,
4,3.4,,,,,,,,,
6.6,3.4,,,,,,,,,
5.1,3.4,,,,,,,,,
4.6,3.4,,,,,,,,,
7,3.4,,,,,,,,,
4,3.4,,,,,,,,,
6,3.4,,,,,,,,,
5.2,3.4,,,,,,,,,
6.6,3.4,,,,,,,,,
3.9,3.4,,,,,,,,,
5.4,3.4,,,,,,,,,
4.2,3.4,,,,,,,,,
2.6,3.4,,,,,,,,,
3.4,3.4,,,,,,,,,
5.2,3.4,,,,,,,,,
5.2,3.4,,,,,,,,,
4.8,3.4,,,,,,,,,
4.7,3.4,,,,,,,,,
3.2,3.4,,,,,,,,,
8.4,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
4.7,3.4,,,,,,,,,
6.5,3.4,,,,,,,,,
0.6,3.4,,,,,,,,,
9.1,3.4,,,,,,,,,
7,3.4,,,,,,,,,
7,3.4,,,,,,,,,
8.3,3.4,,,,,,,,,
8,3.4,,,,,,,,,
9,3.4,,,,,,,,,
8,3.4,,,,,,,,,
7,3.4,,,,,,,,,
7,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
7,3.4,,,,,,,,,
6,3.4,,,,,,,,,
7,3.4,,,,,,,,,
7,3.4,,,,,,,,,
9,3.4,,,,,,,,,
8.4,3.4,,,,,,,,,
7,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8.3,3.4,,,,,,,,,
7,3.4,,,,,,,,,
6,3.4,,,,,,,,,
7,3.4,,,,,,,,,
5,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
6,3.4,,,,,,,,,
6,3.4,,,,,,,,,
7,3.4,,,,,,,,,
8,3.4,,,,,,,,,
7,3.4,,,,,,,,,
7,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
7,3.4,,,,,,,,,
6,3.4,,,,,,,,,
8.1,3.4,,,,,,,,,
6,3.4,,,,,,,,,
7,3.4,,,,,,,,,
11,3.4,,,,,,,,,
7,3.4,,,,,,,,,
7,3.4,,,,,,,,,
8.3,3.4,,,,,,,,,
12,3.4,,,,,,,,,
7.1,3.4,,,,,,,,,
13.8,3.4,,,,,,,,,
6.3,3.4,,,,,,,,,
13.8,3.4,,,,,,,,,
15.2,3.4,,,,,,,,,
15.2,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
15,3.4,,,,,,,,,
14.6,3.4,,,,,,,,,
15.2,3.4,,,,,,,,,
13.8,3.4,,,,,,,,,
15.2,3.4,,,,,,,,,
15.3,3.4,,,,,,,,,
15,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
14.8,3.4,,,,,,,,,
14.8,3.4,,,,,,,,,
7,3.4,,,,,,,,,
15.2,3.4,,,,,,,,,
6.3,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
7,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
13.8,3.4,,,,,,,,,
7.3,3.4,,,,,,,,,
15.2,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
7.1,3.4,,,,,,,,,
15.2,3.4,,,,,,,,,
15.2,3.4,,,,,,,,,
15.3,3.4,,,,,,,,,
7,3.4,,,,,,,,,
9,3.4,,,,,,,,,
10.3,3.4,,,,,,,,,
16,3.4,,,,,,,,,
11,3.4,,,,,,,,,
9,3.4,,,,,,,,,
9,3.4,,,,,,,,,
10.7,3.4,,,,,,,,,
12,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10.3,3.4,,,,,,,,,
12,3.4,,,,,,,,,
10.3,3.4,,,,,,,,,
5.5,3.4,,,,,,,,,
10.7,3.4,,,,,,,,,
11.3,3.4,,,,,,,,,
10.7,3.4,,,,,,,,,
12,1.9,,,,,,,,,
11.7,1.9,,,,,,,,,
9,1.9,,,,,,,,,
14,1.9,,,,,,,,,
9,1.9,,,,,,,,,
13,1.9,,,,,,,,,
12,1.9,,,,,,,,,
11,1.9,,,,,,,,,
10.5,1.9,,,,,,,,,
9.3,1.9,,,,,,,,,
11,1.9,,,,,,,,,
11,1.9,,,,,,,,,
13.7,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9.7,1.9,,,,,,,,,
11,1.9,,,,,,,,,
11.3,1.9,,,,,,,,,
11,1.9,,,,,,,,,
10.3,1.9,,,,,,,,,
17,1.9,,,,,,,,,
10.3,1.9,,,,,,,,,
9,1.9,,,,,,,,,
10.7,1.9,,,,,,,,,
9.5,1.9,,,,,,,,,
10.7,1.9,,,,,,,,,
11,1.9,,,,,,,,,
12,1.9,,,,,,,,,
12,1.9,,,,,,,,,
11.7,1.9,,,,,,,,,
9,1.9,,,,,,,,,
11,1.9,,,,,,,,,
12,1.9,,,,,,,,,
12,1.9,,,,,,,,,
14.7,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
3.4,1.9,,,,,,,,,
8,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
8,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
7,1.9,,,,,,,,,
9.8,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
8,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
9,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
10,1.9,,,,,,,,,
6,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
10,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
10,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
10,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
6,1.9,,,,,,,,,
10,1.9,,,,,,,,,
8,1.9,,,,,,,,,
10,1.9,,,,,,,,,
6,1.9,,,,,,,,,
8,1.9,,,,,,,,,
10,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
6,1.9,,,,,,,,,
8,1.9,,,,,,,,,
10,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
10,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
6,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
7.5,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
4,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
4,1.9,,,,,,,,,
8,1.9,,,,,,,,,
4,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
4,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
4,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
4,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
4,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8,1.9,,,,,,,,,
4,1.9,,,,,,,,,
9,1.9,,,,,,,,,
8,1.9,,,,,,,,,
8.3,1.9,,,,,,,,,
10,1.9,,,,,,,,,
9.1,1.9,,,,,,,,,
10,1.9,,,,,,,,,
2,1.9,,,,,,,,,
5,1.9,,,,,,,,,
5,1.9,,,,,,,,,
1,1.9,,,,,,,,,
