Dissolved_Oxygen,salinities,Aquatic_Environment
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
16.5,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
10.6,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.6,3.4,unknown
6.6,3.4,unknown
9.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.4,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.6,3.4,unknown
10.5,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
10.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.7,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.6,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.5,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.9,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.1,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.1,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.5,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
12.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.5,3.4,unknown
9.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.3,3.4,unknown
10,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.9,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
6.5,3.4,unknown
8.5,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
11,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.4,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.1,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.6,3.4,unknown
10,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.6,3.4,unknown
6.8,3.4,unknown
7.4,3.4,unknown
9.1,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
11.4,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
11,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
10.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.4,3.4,unknown
12,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
6.8,3.4,unknown
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.4,3.4,unknown
9,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.6,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.2,3.4,unknown
10,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7,3.4,unknown
9.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.6,3.4,unknown
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
11.4,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
11.1,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
11,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.6,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.9,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
12,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
10,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7,3.4,unknown
9,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
11.6,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.3,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.4,3.4,unknown
10.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
11.5,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
10.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8.5,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.2,3.4,unknown
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
9.7,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7,3.4,unknown
13.5,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
4.4,3.4,"Very Low Oxygen, Freshwater Pond (Fish: Carp, Catfish, Goldfish)"
9.6,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
13.2,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.6,3.4,unknown
7.2,3.4,unknown
12,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
10,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
10,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
10,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
