air_temp,aerosols
28.4,0.2149
28.8,0.9696
32.2,0.5566
30.9,0.2413
28.8,0.2964
30.6,0.1991
26.8,0.2217
31,0.1981
30.2,0.1914
29.8,1.0024
30.4,0.8477
30.3,0.3494
28.6,1.0655
32.2,0.175
31.7,1.2156
32.6,0.1594
30.9,0.3829
23.9,-0.2387
32.3,0.4
32.8,0.2171
25.7,0.2139
26.3,1.515
31.6,0.1703
29.9,0.1572
26.9,1.597926982
31.4,0.3715
30.6,0.8686
25.1,0.063
25.3,0.0573
28.8,0.1035
29.1,0.1968
32.3,0.8002
32.9,0.2036
34.6,0.0835
32.6,2.97876616
29,0.152055094
29.4,3.044930324
34.4,1.97614536
24.8,3.034781956
35,0.4559269
23.9,2.786534206
32.1,0.32411635
32.8,0.928400198
33.4,3.304169009
33.7,0.313926935
32.3,0.905827935
33.1,2.979705551
31.1,0.816511214
31.6,2.261790513
31.5,2.951305419
31.9,0.754738641
32.7,1.453419651
32.6,1.102737793
29.4,2.950110776
27.6,1.451281427
32.5,1.815524118
7,2.96247534
23.1,1.054323299
19.9,2.320631714
20,1.701235328
32,0.698918692
23.3,2.53018066
22.6,2.552913407
32.6,0.916518679
19.7,2.126428741
21,0.642494289
32.2,3.139147151
24.2,3.009260991
20.1,1.381584301
20,3.262273447
28.5,2.738511948
25.9,0.243470055
22.2,1.213815501
29.2,3.57300752
29.1,0.558034705
28.4,1.642901758
29.8,2.51022581
29.7,1.393430492
31.8,2.419658625
29.4,1.928886104
29.8,0.37401915
30.3,1.871478495
31,1.561111622
34.7,2.245466208
34.3,2.888408504
30.4,2.262586601
39.8,2.619034025
33.3,1.568243585
27.9,3.354250356
33.7,3.412767421
33.4,1.38893214
31.5,2.86928332
32.2,0.0394898
28,1.842972334
33.8,3.472381379
33.2,1.413227327
31.2,3.150202741
34,1.297378565
28.2,2.337239785
34.3,0.222871945
32.1,3.095318714
33.6,1.990953214
33.6,3.573663951
33.9,0.801771255
26.9,2.854499784
33.6,1.359150877
32.9,0.623369645
33.2,1.768467265
32.5,2.050996855
26.1,2.742426712
33.5,1.99893342
25.9,2.418639037
31.7,1.721974942
33,0.089148425
33.9,2.907928183
32.8,3.01863646
35.4,1.586162375
35.6,2.84750427
30.5,1.473427602
30.6,2.208449237
20.9,1.749496286
20.1,2.854162751
32.7,1.345427525
30.8,3.216419605
31.3,1.65404073
23.5,2.547796379
23.9,1.394499216
34.1,2.880040004
32.2,2.494127006
35.9,2.079036623
32.9,1.082009626
27.9,3.04758341
27.8,0.245057286
28.1,3.605336643
28.2,0.853186693
28.9,1.458543946
31.6,1.718713448
21.1,3.291967954
28.8,0.054287711
28.6,1.538057517
30.9,3.495388983
31.3,1.621145392
28.3,3.558978129
28.9,0.390339034
26.3,1.165232498
20.6,2.24450005
28.9,3.258363438
29.6,3.097099449
29.4,2.060254174
27.3,2.911391732
25.8,3.510274504
22.3,0.2798795
19.6,2.617132781
19.8,0.228134304
22.4,0.764049489
24,1.898312998
10.7,2.62448071
13.4,0.256168604
16.7,1.835273512
25.3,1.842272284
25.9,0.480500575
24.6,0.199117821
17.3,3.028173127
2.2,1.997310064
3.8,3.057476451
24,3.632593783
26.3,3.207698465
19.6,1.392658424
22,1.217272588
17.7,3.024709895
22.3,1.563616672
25.6,2.222348551
23.4,2.605981912
22,1.526276886
6.8,1.389037827
9.4,2.232610599
16.2,1.707100263
12.4,2.511432489
14.9,2.734402243
19.2,1.438865064
19.6,3.504028907
18.5,1.253697739
17.5,3.622324196
19.9,2.236573849
13.3,0.222920589
12.6,0.938291324
10.7,2.316107879
14,1.216188606
12.9,0.920154703
13.8,1.740932117
13.2,1.613924045
22.8,3.350762922
13.5,0.90346685
13.8,1.724758659
13.3,3.160111552
3.2,1.672296049
4,1.116042668
2.3,3.223537845
4.1,0.596294526
39.7,3.015482038
2.9,0.800398472
4.8,1.689617832
5.4,1.483125611
4.6,1.996320532
6.6,0.407296043
4.7,2.442925935
4.7,2.625047705
11.9,0.027651774
19.1,0.845810068
3.3,0.520279878
11.2,1.811386981
4.4,3.387493633
18.4,1.499992985
10,1.552215236
18.9,2.55199144
20.6,2.763950221
18.7,0.945115281
17.9,3.554841724
22.2,3.20642911
16.6,0.912270945
18,0.644417222
17.4,0.041343465
18.9,2.960328591
24,0.386169991
21.4,2.775677541
13.1,3.301373504
11.7,2.927202839
18.2,1.749127281
18.2,3.446046588
19.2,1.716354713
18.6,2.022399664
12.9,2.172525643
16.8,3.305927502
20.7,3.054484342
2.3,0.179865373
20.3,1.121660464
16.5,2.716552849
12.1,0.951544593
14.2,2.593296527
13.6,2.239855059
14.2,1.496629046
14.6,1.886773701
13,2.802219419
11.3,1.9958149
14.8,1.739719341
15.4,2.678021735
14.7,0.08259725
16.4,2.515895012
14.9,2.943824765
16.7,3.136598503
16.9,1.564493891
9.9,1.562584077
13.4,2.221241325
10.8,1.608824693
9.8,0.114016453
3.5,3.465653008
4.2,0.397384833
25.2,1.91340803
26.1,1.419136099
26.1,3.133498595
24.7,0.198770369
23.9,3.421470681
16.9,3.314616433
23.5,2.544970444
19.3,0.971130433
25.5,1.554177403
24.3,2.696035188
25.8,0.115205647
23.8,0.684503904
25.1,2.39925615
23.9,0.591971027
25.3,2.196636066
23.2,2.891457191
21.8,1.554782499
26.5,0.87359267
22.2,2.129922618
23.1,2.310834692
20.8,1.037628083
25.9,0.997918915
25,0.509629435
23.8,0.272001934
25.6,3.544184072
22.9,1.788647378
14.5,0.374732129
13.6,2.063621341
13.7,2.020401794
14.7,2.234998856
20.9,0.578579064
19,1.323435201
18.1,3.548089065
20.7,3.403630597
22.8,1.856058968
22.5,1.62833071
22.6,0.425190172
19.7,0.668498353
22.2,3.076932767
21,3.33945975
23.5,3.430988829
23.3,1.385157656
23.4,2.132973922
18.4,2.476008376
23.8,3.237468865
23.6,3.593389009
16.8,0.847632546
23.6,0.887167524
23.8,2.595311428
19.9,1.232898338
23.3,0.347397202
21.2,2.194323092
15.8,3.049423536
26.2,0.566701496
9.9,0.16678689
20.3,2.016485755
20.6,2.850085672
21.9,3.063751943
21.4,2.159502964
20.4,2.871002507
28.5,0.647479264
26.9,2.128474769
28.1,0.955382027
27.5,3.341594121
30.7,0.917779285
29.3,0.95280462
29.1,1.989301378
30.9,3.374477822
26.4,2.198740984
32.2,3.250586752
31,1.892302361
22.4,2.988719605
27.8,1.91501552
23.9,3.313461751
27.4,0.563475347
27.8,1.402234015
21,1.121015986
17,2.396834533
15.8,0.876934231
19.6,3.363891595
21.4,2.731024876
19.4,3.25969927
19.3,1.540637062
17.3,2.370303801
18.9,2.584674459
24.8,0.100264133
21.6,0.269192886
22.9,1.024847055
24.7,2.640963647
23.6,0.231744486
26.9,0.90126529
27.1,2.177724324
19.7,3.323400081
20.7,2.547447891
21.5,2.25631387
24.4,3.471704129
20.2,2.704582348
19,1.86837344
18.8,0.177094149
18.1,2.002705616
26.3,0.883424822
25.3,3.588037923
27.6,2.89416419
26.4,2.050580913
22.3,0.004150616
21.5,2.946204484
21.9,3.136083179
25.1,2.821922542
23.1,1.676717417
21,0.633412173
22.7,3.386908145
19.6,1.584425733
30.7,1.544131242
31,0.823433003
31.2,2.931930943
17.7,3.273764408
18.9,2.252046357
18.2,0.917297694
26.4,2.256048907
26.4,0.635463946
29.7,1.160242187
23.8,1.347963859
23.9,3.57772644
16.9,0.002192764
28.8,3.308939074
18.8,2.501826961
23,2.665147694
28.1,1.791322828
23.2,1.503607224
18,2.090176692
17.8,1.652928388
26.6,2.029280807
26.9,1.62442344
25.1,1.283511499
27.3,0.871288801
28.6,1.7724996
22.2,3.470739392
26.6,3.080628339
29.4,1.71018062
21,2.079844735
27.3,3.159046067
26,1.255546166
28.3,2.543223845
28.8,2.052822215
28.2,1.402664383
28.3,2.72198389
27.2,0.820346722
27.5,1.237208776
26.2,3.213213319
27.1,0.764428849
19.9,2.133643608
28.3,2.961807802
27.8,0.51968846
25.7,0.32502985
26.8,2.215888257
30.9,0.74009955
26.2,1.11877419
32.1,0.293758298
33.1,2.123696395
33.3,2.221026467
32.1,1.436330898
24.8,3.026867325
33.3,0.825997594
27.5,2.829020129
32.5,1.037252771
30.9,0.84827711
32.4,1.554201185
33.2,0.557670789
33.1,3.546362369
21.4,0.916213874
27.6,1.689876057
27.3,2.619268814
27.4,1.82477495
26.9,0.990529583
29,0.769263182
29,3.22678403
29.2,1.755707268
27.7,1.735051863
27.6,3.54091637
26.6,2.820639291
27.7,3.613112527
29.1,1.6806134
27.7,3.56735094
30.1,2.422113843
25.6,0.023075404
24.5,0.032360046
25.4,1.402159032
30.8,0.6246251
28.9,1.012163363
30.8,1.343575174
21.9,3.431579393
30.4,1.105315342
29.2,0.841109647
28.7,1.443742325
29.2,2.749718809
29.5,0.075305879
32.7,3.463909715
29.5,3.079253197
26.2,0.740534833
31.7,1.315626337
32.1,1.814220371
29,3.357858478
28.7,0.856269831
32.6,0.009516062
31.4,0.14351374
31.5,1.546924319
31.9,1.961464991
31.3,2.353012677
29.1,3.257287197
32.7,0.02480484
31.8,3.648597077
32.3,2.810496309
34.2,2.282163308
33.7,0.392607899
33.6,0.947801337
33.3,2.513851627
34.3,2.53419521
33.1,3.023765809
33.1,1.757545586
33.6,2.147884663
34.2,0.531283321
32.6,0.828836185
31.3,0.820859447
30.1,3.455676494
30.6,0.382298647
30.6,2.521010292
31.5,1.404447579
28.1,0.680329781
31.9,2.098109335
32.4,0.328580437
23.6,0.150151599
21,1.212701053
31.2,1.979337089
31.6,2.024868885
29.4,0.058336482
32.6,2.319732486
7.4,2.581890495
31.6,0.217793485
31.1,1.305207725
29.6,0.828836647
29.1,2.518493478
30.3,0.646090165
31.4,2.589984538
33.1,0.151913898
21.8,1.476099907
24.8,0.349472586
31.4,0.020097566
26.3,3.481792184
33,2.686563083
32.3,3.351938039
32.9,1.329057916
32.8,0.125076438
33.1,2.86434051
33.5,1.695336236
34.7,0.075041145
34.3,2.18757449
34.9,3.480660865
36.2,2.404142415
35.7,1.011153209
38.1,1.522161529
38.6,0.416242607
36.9,1.350049075
38.6,1.949686019
38.6,0.742785403
38.9,2.267722246
30.3,1.642047064
36.6,1.864935152
31.3,2.052960437
33.8,0.847124163
26.5,0.030322427
33.2,2.136433652
29.8,0.343468003
35.5,2.858633145
24.3,3.579079366
20.6,1.128121191
27.2,1.605973736
28.3,2.047755415
27.9,0.149346496
26.2,0.100418925
27.8,2.502652478
32.3,0.530809289
27.4,1.350465592
33.2,2.108100184
33.3,2.302417714
32.9,0.503187683
28.4,0.491296273
31.8,1.466945576
30.9,2.032777606
35.1,2.182389816
31.1,2.276365307
33.3,1.220988526
33,1.16276906
33.3,0.748268743
34.9,3.33405527
37.9,2.01165916
23.7,2.695262644
32,0.902451802
30.3,0.635740774
32.1,0.074942316
33.8,0.560568331
36.3,3.11347954
35,2.923181335
36.4,3.241673279
38.7,0.067354322
38.3,2.497814604
35.1,1.371037592
38.3,3.329668575
38.9,3.178374401
35.4,1.376094192
34.7,2.175628209
27.9,2.025051024
28.1,2.852363463
28.9,2.648220141
29.4,1.683981246
28.1,1.631304121
29.2,2.597484119
16.9,2.472978968
31.6,3.040831095
31.6,1.623349464
31,3.133260328
31.9,1.871252764
29.4,2.849006865
29.7,2.150695147
31.6,0.387075994
30.1,3.15556594
31,2.782825259
27.1,3.541554994
31.2,0.871611608
28.9,0.649356614
30.9,0.603465205
27.7,1.926390305
30.7,1.137525004
28.2,2.349228775
30,1.173264994
32.4,1.129031161
28.9,0.959466148
34.4,3.598660246
31.5,3.529943937
30.3,0.410446268
34.2,3.433229854
34.4,1.23097119
28.7,1.069177881
33.9,2.819123606
30.8,0.159343628
31.3,0.278506586
27.8,3.090511677
29.6,3.291357247
27.8,3.612474414
33.7,3.572998653
31.7,2.222773832
29.4,2.98511084
29.5,2.939030473
29.6,3.385284571
32,0.682744886
30.6,3.281585444
24.4,1.861028032
25,0.75489574
30.8,2.591012146
30.3,3.524660572
30.3,1.020063107
26.3,0.326284851
26.3,3.111230483
20.4,0.989347361
22.7,0.145693366
20.6,1.30568188
19.7,2.499775096
26,1.629535158
20.6,1.34571339
27.4,1.574728068
26.2,2.61243094
31.1,3.136780868
27.8,1.077138012
26,0.471374048
27.2,1.385265351
29.9,1.892663405
29.7,0.73535445
28.6,3.581033316
28.2,0.498977537
25.1,1.05418512
29.8,2.147211461
31.1,0.38491745
22.7,2.792029042
32.6,3.586098065
26.6,2.903708111
26.1,3.154315569
33,1.795015498
32.9,2.188817302
33.2,1.947795931
31.1,0.774276859
15.8,1.859415485
29.6,2.052681419
32.7,2.323877372
32.8,0.060439624
26.1,2.196741042
27.1,1.012232291
27.8,0.080722774
27.1,0.390820649
32.6,3.192444631
28.1,1.625742966
25.2,2.628603207
32.4,0.306927509
24.3,3.219808908
32.2,2.605116417
28.6,0.160032062
27.4,0.380577372
31.9,2.96677345
27,2.101572948
28.9,2.11591427
30.4,0.49887424
28.5,2.490212981
31.7,0.497756241
32.5,0.892032484
32,0.560900331
29.1,3.41745359
25.8,3.083246782
27.4,0.264925573
34.4,2.146535811
33.9,3.399971311
28.7,2.551661411
25.2,2.387625536
34.8,2.866261941
34,0.787553195
26,2.913771364
30.2,0.725570187
28.5,0.614272112
35.8,2.743572809
35.2,1.734605871
29.1,1.38364156
31.3,0.215463058
35.3,2.953180004
34.8,1.022776636
34.3,1.823802378
35.6,0.255475344
27.9,3.256320775
21.4,2.06281048
28.5,2.309315048
24.5,3.255724042
31.3,1.487024676
31.6,0.603890954
32.4,2.504923313
28.4,2.542506885
35.4,2.188748557
25.1,1.884754425
25.3,0.08477288
28.5,2.763889967
27.3,2.568384934
23.3,0.399152686
28.2,0.235582622
34.4,2.504056253
31.7,0.610251658
31.9,0.99839886
41.2,1.435953054
37.5,1.265462543
32.7,1.515203045
20.6,0.982118243
37.7,0.852781121
35,1.278606069
26.3,1.992585612
10.4,2.707476255
1.3,1.157022105
13.9,1.451337495
21.8,0.208475729
12.1,1.621976193
35.3,2.920144917
10,2.264453572
3.6,1.986500949
2.5,1.09978975
4.9,0.400908991
17.5,3.531824073
24.5,2.989467476
25.7,2.425953624
15,1.847628075
16.1,2.994197306
14.1,0.121935633
19.3,0.223425233
17.6,0.601778598
8.6,2.074966637
3.8,1.404568818
15.1,3.036225864
15.4,0.179552904
13.4,2.337862168
14.1,3.149320335
23.5,1.407779878
26.1,1.365301128
23.3,2.985169767
22.7,1.596043217
26.2,3.271158221
25.6,0.205605645
18.2,1.007883003
25.4,0.052308083
25.6,0.376898746
25.6,3.184927035
24.7,2.74615783
17.5,1.46631495
30.7,1.239190146
21.4,1.397892859
28.9,0.243914054
30.7,2.278410216
27.9,3.449480766
25.3,0.380889907
15.1,1.139938137
13.9,2.628863218
23.8,3.571346118
13,3.626738158
19.1,2.188133229
17.9,0.450362821
27.8,1.371304263
18.8,3.235239644
27.3,3.113144273
28.4,1.29491644
28.6,3.253881163
20.2,1.274698654
18.9,0.761345276
18.8,1.836497111
26.5,1.741815182
19.4,1.519857082
28.2,2.457544674
26.8,0.935426278
18.6,1.443490782
18.6,0.685083022
18.6,2.745107215
34.1,1.719535056
30.2,1.653189804
31.6,0.530182214
29.4,2.680860601
24.1,0.868140474
27.4,0.017377252
24.6,2.212269627
30.1,2.984433064
20.9,0.147573954
33,0.537005057
31.3,2.035988439
27.8,1.74931501
32.8,2.429837952
24.1,3.203995156
25.8,2.520586582
14.6,1.494575685
21.9,1.462467371
27.4,2.642092667
30.1,1.438172318
36.9,2.988532501
36.7,0.618399904
37.7,1.018543323
35.6,3.152573363
35.2,3.100146704
36.3,0.466575814
37.1,0.559598993
29.9,2.421602169
27.3,3.291176843
32.3,2.34443799
27.6,1.775854272
35.2,3.407427346
26.5,0.308370082
38,3.557647696
38.9,1.403808977
42.1,0.019131086
8.5,1.13971874
27.7,0.717008077
39.1,2.409405568
38.6,2.267531805
39.6,1.051141453
34.7,2.265439808
35.7,3.327745619
34.7,2.037471189
38.9,1.077185134
31.7,0.893972672
32.7,2.960513634
28.6,0.320000313
26.9,2.794056403
30,2.879207232
32.5,0.849765332
31.9,3.507003476
30.9,2.848190215
28.7,2.27164662
24.6,0.471803604
28.9,1.218630379
26.9,1.638952539
33.7,0.972921442
32.4,3.543380611
37.7,0.450357296
34.6,3.022805101
23.1,2.957467955
27.3,1.247573509
32.2,0.215273028
39.8,1.924199873
33.7,1.708638442
26.6,3.245347659
26.9,1.826697981
13.8,2.643833439
15.3,0.03750407
9.3,2.705450889
13.4,0.256749776
8.7,2.754575504
7.4,1.508040284
7.8,1.998040747
4.4,1.242993844
9.5,1.367450386
13.3,0.99746519
13,1.49573157
20.6,0.527104175
23.1,0.577588146
12.4,0.990881222
12.7,0.363027499
15.7,1.31007458
12.5,2.529197675
9.9,3.266418686
11.1,0.822801451
22.3,2.482055338
22,1.77162743
23.1,0.060178427
22.9,2.325288831
26,1.677904613
24.3,3.238123623
28.8,3.196232817
28.3,2.042437411
26.2,0.767390973
29.7,1.892403754
27.2,0.057937536
31.3,1.599444211
26.7,2.69956663
26.1,3.647435044
10.5,1.206222268
10.9,3.254095634
12.4,1.403053353
21,1.260507339
23.4,3.557375864
14.4,2.524504481
10.2,2.639135516
29.5,3.265577569
19.4,2.154652882
38.1,1.529147705
31.1,1.745173557
24.9,2.377469119
28.3,3.493375787
31.7,0.307038654
30.2,0.0768035
34.6,2.44307692
24.8,1.202669808
38.6,2.751232108
36.6,1.01837645
28.5,1.445402732
39,2.448119464
32.4,1.50502039
29.9,3.416633175
31.3,0.735618845
27.1,1.741306788
25.6,1.148754406
25.1,0.999191757
25,0.378849151
30.6,1.495456295
36.6,3.149001061
35.9,1.533335963
33.4,1.690968155
36.4,2.155594819
36.1,2.255996503
36.6,2.098483982
28.4,3.34678432
27.6,1.879583616
24.3,3.010407281
24.2,0.569951156
20.3,2.215638053
18.7,1.475456074
11.2,1.263118555
20.7,0.851539262
20.9,2.8151072
15.2,2.041954269
17.8,1.057579374
11.2,1.0475309
16.9,1.483456306
3.4,1.706393183
21.1,1.36090396
18.5,2.847476245
20.3,3.495157895
1.4,2.177465832
1.3,1.466813786
13.9,0.509005171
14.7,0.954257911
17.8,2.234428996
16.3,0.728203357
14.4,1.602309846
15.6,0.998025333
10,3.011871384
9.8,1.102221409
1.2,3.573038604
13.7,2.08818573
19.2,2.818595379
21.1,0.12911963
23.9,0.665215823
23.7,1.961083213
24.4,2.780353407
19.3,3.110930528
19.7,0.939472546
19.9,3.14629315
19,3.501310799
17.5,0.351155088
17.1,1.416810121
13.8,1.244460145
14.2,1.396065491
14.8,2.740362239
16.1,3.163342941
24.4,2.135107563
24.3,1.599719642
26.5,2.077828608
25.6,2.175190765
22.6,0.208605178
27.9,3.467552791
28,2.711669051
2.4,2.423774313
2.2,1.942987446
4.9,1.20800599
5.9,0.336337203
5.7,2.152561533
10.6,1.319572613
11.3,1.658385086
-2.7,2.595116201
12.6,0.787414352
9,1.59466542
6.9,2.418504246
10.2,2.088957874
9.6,0.201110124
11.5,1.64657981
12.4,2.300937477
12.6,3.402850176
12.7,1.765075066
10.9,2.656131812
4.2,1.603951969
25.6,2.289371129
11.3,1.070149118
27.4,2.865662283
24.5,0.496518755
18.7,1.361246442
21,0.832547308
20.8,2.152733586
14.1,1.457527541
15.3,0.617077425
19.5,0.88662958
13.5,0.945827469
18.7,3.47006046
12.1,2.568927951
11.3,2.96112211
1.5,1.920365076
16.1,1.001721756
16.7,2.964674296
13.8,0.142675634
11.6,1.372781642
13.2,2.756257549
13.2,2.435886501
13.1,0.570899556
15.3,2.451511547
13.6,2.428021063
16.1,2.981584857
12.6,1.575952177
14.5,0.600136198
14.1,1.782670286
15.8,2.30227524
11.4,2.985968448
12.3,1.22674374
25.2,2.700174863
15,1.560708148
15.1,0.685500072
15.6,1.31188799
12.5,0.409198476
20.1,2.412763878
8.7,2.166612134
10.9,2.159706998
13,1.116540309
13.3,1.202799019
25.3,1.960132158
18.1,0.12768086
18.1,1.735880083
16.8,0.067170215
22.3,2.906267327
16.3,0.846381597
24.2,2.701268423
22.2,3.615846737
21,0.174788082
20.9,1.705942177
20.6,0.792846374
17.9,2.740703163
23.9,2.85580418
21.3,0.889322981
20.8,3.629024007
16.8,1.214616643
17.6,2.324812865
12.2,0.29571891
21.5,2.995881509
27.1,3.57678516
27.5,2.93052577
24.1,1.831291368
24.9,0.468173317
23.1,0.047437694
26.6,2.033777282
26.3,1.031061748
22,1.427625733
26.7,2.231791242
25.4,2.828522592
21.5,0.132106688
26.4,1.074328867
20.1,2.246617973
25.6,3.25079266
24.9,2.217105381
23.2,0.994068401
25.9,2.159423874
26.2,0.854961355
26.8,3.613176947
11.4,2.978962113
10.6,2.17377922
10.7,0.209699358
10.9,0.929509792
12.8,0.355040591
13.7,0.559724462
14.4,2.223421885
14.3,0.620820361
20.6,0.552547275
14.9,0.817469159
10.4,2.946111411
10.3,3.123575051
10.8,3.381826653
17.7,1.258301156
19.1,2.293012671
12.2,1.82967221
12.7,2.344278606
2.7,0.57994201
5.3,0.946302505
3.5,1.478097224
4.9,2.754286242
5.8,3.362087538
3.7,0.543217822
16.9,1.600558424
17.2,1.611638974
2.7,2.604664976
16.7,0.84122881
15.7,2.184159309
14.6,1.172884852
15.4,1.959257009
22.9,3.018804551
12.9,2.015392956
21.9,1.579716478
15.6,0.99753202
15.3,3.439160398
16.1,2.3777692
18.8,1.894230958
14.6,1.276365915
14.8,1.735554499
15.8,2.735101782
18.2,3.523077095
14.6,1.634640891
13.6,0.888492041
12.6,0.764676022
12.3,1.379408414
13.3,0.724388207
10.7,2.76921286
18.6,0.226945893
16.7,2.333473973
18.6,3.216587497
10.8,0.719221214
12.1,0.658487724
12.8,1.768698352
13.3,2.733111945
5.7,0.132659031
2.3,3.448910569
0.1,0.651063715
0.1,1.844669016
3,1.609232446
0.9,0.998023801
2.5,0.012086887
4.8,1.41309654
0.9,2.486222091
4.3,0.467939091
4.9,0.013963968
5.1,0.832924679
5.6,0.564973961
5.5,2.339866203
3.7,2.24431143
10.2,2.835369372
3,0.605418294
4.5,0.772403317
8.3,0.912773095
4,1.886297975
11.7,3.083709806
8.7,0.023411345
9.9,2.444694872
11.9,0.16561513
3.3,0.683740313
11.3,2.272004127
7.8,1.328746743
7.9,1.498195579
1.9,2.361158792
15.4,2.901535225
15.1,0.707477631
18.9,3.155972483
11.2,3.010293773
13.9,2.19382475
16.9,1.44038567
7.9,1.798351484
16.8,2.788768927
20.7,1.675057175
22.5,3.527968091
18.6,1.54116754
23.3,0.338220527
23.4,3.292028916
22.3,1.747976537
24.2,2.491757288
23.9,3.058037407
23.6,3.57771968
23.1,1.371973123
22.2,0.252050833
23.9,0.559905581
25.2,0.409270442
25.5,2.831664507
24.9,2.487155003
25.8,0.704630732
10.1,0.264199242
8.9,1.247372721
8.4,2.12798799
17.5,1.636358492
11.9,1.497372245
7.9,1.408790739
11.9,2.55512366
12.8,0.060616757
11.7,0.032220282
11.7,1.69448398
11.7,0.576094399
11.4,0.626223527
7.2,1.012361031
7.2,1.680326533
7.3,1.746127549
8.5,2.632726634
8.3,0.419972414
8.6,1.264414974
5.9,1.527070647
9.1,3.639402172
7.8,3.540956662
8.6,0.262185018
8.6,1.389008598
9.9,3.038738593
8.5,0.040073668
7,1.306811784
7,2.052903789
11.8,3.218863582
14.9,3.42884276
25.4,1.233855136
9,2.155037751
10.3,1.79444405
11,0.695318625
12.8,1.022808072
12.6,1.032741913
13.6,0.308691119
14.3,0.27735481
8.2,2.495179529
14,3.157725254
11.3,2.909103584
13.9,1.199418697
6.7,3.447564274
20.6,0.089551472
11.8,2.453034041
18.2,3.027160278
7.8,0.787707215
13.9,2.058935131
15.7,0.905625913
26.2,2.462217336
18.7,0.815113113
17.9,1.427599125
14.3,2.449068856
19.5,1.098910814
19.3,0.562455465
23,2.371900713
23.8,2.003123716
24.9,2.986299951
24.4,2.545555147
21.2,0.375024111
21.7,2.337958323
20.3,1.908651995
22,1.827803697
19,3.297972455
22.2,1.050329444
22.9,0.519534401
26.6,2.749192915
21.3,2.137183318
20.6,3.067192597
18.6,2.185025573
21.4,0.40479541
19.9,2.164432686
20.7,0.613442146
22.7,0.684530739
18,2.591457945
20.6,1.423251902
21.6,1.772606596
14.5,0.921810663
16.1,1.234617728
20.2,0.500667611
13.7,1.657583602
14.6,2.957691489
14.4,2.695235697
14.8,2.107017799
14.5,0.941693628
13.8,1.846864698
13.9,3.152085235
14.5,2.214917136
14.3,3.438331449
14.9,0.259022009
13.5,3.357098719
15.3,3.629596248
15.2,1.995913791
15,1.251222441
12.8,2.749571929
15.6,2.21566294
14.8,1.39186365
15.2,1.87454419
15.4,1.777879897
14.3,0.607326526
10.6,0.588176206
17.7,0.301024989
15.5,3.195416768
3.7,1.55888155
21.2,2.227066963
16.6,0.498855081
18.2,0.086844248
19.2,2.50793863
19.8,0.503326086
17.4,0.218201105
13.5,2.664312007
16.9,1.311298244
16.9,0.07834971
14.9,2.59286417
28.1,2.587698819
28.2,2.453816437
27.1,0.261496907
27.7,0.127306962
31.8,3.465489647
31.6,0.021135339
29.1,1.632112098
27.2,1.838316411
27,3.597072574
27.3,0.296723397
22.7,0.309259719
28.7,0.731294674
25.6,3.007220785
20.6,0.321420299
21.4,0.704037103
25.3,0.928352324
25.6,1.660425881
21.9,1.241950598
21.6,0.697431758
22.3,0.5175713
26,3.116586482
24.6,2.607945047
16.2,2.333994052
28,0.273658672
23.4,0.821641857
27.2,0.592910213
26.9,1.683919007
26.3,1.10280217
26.3,2.890921729
25.8,1.193405827
25.4,3.55396106
18.8,2.16920111
17.2,3.075678653
13.5,1.081087097
15.7,2.594980266
15.9,0.29784181
15.5,0.680122236
22.7,2.094924295
23.5,3.158602872
