air_temp,aerosols,Land_Type
20.0,1.701235328,Wetland Carbon Sink Restoration
32.0,0.698918692,Heat-Adapted Coastal Ecosystems
23.3,2.53018066,Unknown
22.6,2.552913407,Unknown
32.6,0.916518679,Heat-Adapted Coastal Ecosystems
19.7,2.126428741,Wetland Carbon Sink Restoration
21.0,0.642494289,Unknown
32.2,3.139147151,Green Agriculture Initiatives
24.2,3.009260991,Urban Air Quality Monitoring Network
20.1,1.381584301,Unknown
20.0,3.262273447,Urban Air Quality Monitoring Network
28.5,2.738511948,Unknown
25.9,0.243470055,Heat-Adapted Coastal Ecosystems
22.2,1.213815501,Unknown
29.2,3.57300752,Urban Air Quality Monitoring Network
29.1,0.558034705,Heat-Adapted Coastal Ecosystems
28.4,1.642901758,Heat-Adapted Coastal Ecosystems
29.8,2.51022581,Unknown
29.7,1.393430492,Heat-Adapted Coastal Ecosystems
31.8,2.419658625,Unknown
29.4,1.928886104,Heat-Adapted Coastal Ecosystems
29.8,0.37401915,Heat-Adapted Coastal Ecosystems
30.3,1.871478495,Heat-Adapted Coastal Ecosystems
31.0,1.561111622,Heat-Adapted Coastal Ecosystems
34.7,2.245466208,Unknown
34.3,2.888408504,Unknown
30.4,2.262586601,Unknown
39.8,2.619034025,Heat-Resilient Urban Infrastructure
33.3,1.568243585,Heat-Adapted Coastal Ecosystems
27.9,3.354250356,Urban Air Quality Monitoring Network
33.7,3.412767421,Green Agriculture Initiatives
33.4,1.38893214,Heat-Adapted Coastal Ecosystems
31.5,2.86928332,Unknown
32.2,0.0394898,Heat-Adapted Coastal Ecosystems
28.0,1.842972334,Heat-Adapted Coastal Ecosystems
33.8,3.472381379,Green Agriculture Initiatives
33.2,1.413227327,Heat-Adapted Coastal Ecosystems
31.2,3.150202741,Green Agriculture Initiatives
34.0,1.297378565,Heat-Adapted Coastal Ecosystems
28.2,2.337239785,Unknown
34.3,0.222871945,Heat-Adapted Coastal Ecosystems
32.1,3.095318714,Green Agriculture Initiatives
33.6,1.990953214,Heat-Adapted Coastal Ecosystems
33.6,3.573663951,Green Agriculture Initiatives
33.9,0.801771255,Heat-Adapted Coastal Ecosystems
26.9,2.854499784,Unknown
33.6,1.359150877,Heat-Adapted Coastal Ecosystems
32.9,0.623369645,Heat-Adapted Coastal Ecosystems
33.2,1.768467265,Heat-Adapted Coastal Ecosystems
32.5,2.050996855,Unknown
26.1,2.742426712,Unknown
33.5,1.99893342,Heat-Adapted Coastal Ecosystems
25.9,2.418639037,Unknown
31.7,1.721974942,Heat-Adapted Coastal Ecosystems
33.0,0.089148425,Heat-Adapted Coastal Ecosystems
33.9,2.907928183,Unknown
32.8,3.01863646,Green Agriculture Initiatives
35.4,1.586162375,Heat-Resilient Urban Infrastructure
35.6,2.84750427,Heat-Resilient Urban Infrastructure
30.5,1.473427602,Heat-Adapted Coastal Ecosystems
30.6,2.208449237,Unknown
20.9,1.749496286,Unknown
20.1,2.854162751,Unknown
32.7,1.345427525,Heat-Adapted Coastal Ecosystems
30.8,3.216419605,Green Agriculture Initiatives
31.3,1.65404073,Heat-Adapted Coastal Ecosystems
23.5,2.547796379,Unknown
23.9,1.394499216,Unknown
34.1,2.880040004,Unknown
32.2,2.494127006,Unknown
35.9,2.079036623,Heat-Resilient Urban Infrastructure
32.9,1.082009626,Heat-Adapted Coastal Ecosystems
27.9,3.04758341,Urban Air Quality Monitoring Network
27.8,0.245057286,Heat-Adapted Coastal Ecosystems
28.1,3.605336643,Urban Air Quality Monitoring Network
28.2,0.853186693,Heat-Adapted Coastal Ecosystems
28.9,1.458543946,Heat-Adapted Coastal Ecosystems
31.6,1.718713448,Heat-Adapted Coastal Ecosystems
21.1,3.291967954,Urban Air Quality Monitoring Network
28.8,0.054287711,Heat-Adapted Coastal Ecosystems
28.6,1.538057517,Heat-Adapted Coastal Ecosystems
30.9,3.495388983,Green Agriculture Initiatives
31.3,1.621145392,Heat-Adapted Coastal Ecosystems
28.3,3.558978129,Urban Air Quality Monitoring Network
28.9,0.390339034,Heat-Adapted Coastal Ecosystems
26.3,1.165232498,Heat-Adapted Coastal Ecosystems
20.6,2.24450005,Unknown
28.9,3.258363438,Urban Air Quality Monitoring Network
29.6,3.097099449,Urban Air Quality Monitoring Network
29.4,2.060254174,Unknown
27.3,2.911391732,Unknown
25.8,3.510274504,Urban Air Quality Monitoring Network
22.3,0.2798795,Unknown
19.6,2.617132781,Wetland Carbon Sink Restoration
19.8,0.228134304,Unknown
22.4,0.764049489,Unknown
24.0,1.898312998,Unknown
10.7,2.62448071,Wetland Carbon Sink Restoration
13.4,0.256168604,Unknown
16.7,1.835273512,Wetland Carbon Sink Restoration
25.3,1.842272284,Heat-Adapted Coastal Ecosystems
25.9,0.480500575,Heat-Adapted Coastal Ecosystems
24.6,0.199117821,Unknown
17.3,3.028173127,Unknown
2.2,1.997310064,Integrated Mountain Ecosystem Management
3.8,3.057476451,Unknown
24.0,3.632593783,Urban Air Quality Monitoring Network
26.3,3.207698465,Urban Air Quality Monitoring Network
19.6,1.392658424,Wetland Carbon Sink Restoration
22.0,1.217272588,Unknown
17.7,3.024709895,Unknown
22.3,1.563616672,Unknown
25.6,2.222348551,Unknown
23.4,2.605981912,Unknown
22.0,1.526276886,Unknown
6.8,1.389037827,Integrated Mountain Ecosystem Management
9.4,2.232610599,Unknown
16.2,1.707100263,Wetland Carbon Sink Restoration
12.4,2.511432489,Wetland Carbon Sink Restoration
14.9,2.734402243,Wetland Carbon Sink Restoration
19.2,1.438865064,Wetland Carbon Sink Restoration
19.6,3.504028907,Unknown
18.5,1.253697739,Wetland Carbon Sink Restoration
17.5,3.622324196,Unknown
19.9,2.236573849,Wetland Carbon Sink Restoration
13.3,0.222920589,Unknown
12.6,0.938291324,Unknown
10.7,2.316107879,Wetland Carbon Sink Restoration
14.0,1.216188606,Wetland Carbon Sink Restoration
12.9,0.920154703,Unknown
13.8,1.740932117,Wetland Carbon Sink Restoration
13.2,1.613924045,Wetland Carbon Sink Restoration
22.8,3.350762922,Urban Air Quality Monitoring Network
13.5,0.90346685,Unknown
13.8,1.724758659,Wetland Carbon Sink Restoration
13.3,3.160111552,Unknown
3.2,1.672296049,Integrated Mountain Ecosystem Management
4.0,1.116042668,Integrated Mountain Ecosystem Management
2.3,3.223537845,Unknown
4.1,0.596294526,High-Altitude Glacier Protection
39.7,3.015482038,Green Agriculture Initiatives
2.9,0.800398472,High-Altitude Glacier Protection
4.8,1.689617832,Integrated Mountain Ecosystem Management
5.4,1.483125611,Integrated Mountain Ecosystem Management
4.6,1.996320532,Integrated Mountain Ecosystem Management
6.6,0.407296043,Unknown
4.7,2.442925935,Unknown
4.7,2.625047705,Unknown
11.9,0.027651774,Unknown
19.1,0.845810068,Unknown
3.3,0.520279878,High-Altitude Glacier Protection
11.2,1.811386981,Wetland Carbon Sink Restoration
4.4,3.387493633,Unknown
18.4,1.499992985,Wetland Carbon Sink Restoration
10.0,1.552215236,Wetland Carbon Sink Restoration
18.9,2.55199144,Wetland Carbon Sink Restoration
20.6,2.763950221,Unknown
18.7,0.945115281,Unknown
17.9,3.554841724,Unknown
22.2,3.20642911,Urban Air Quality Monitoring Network
16.6,0.912270945,Unknown
18.0,0.644417222,Unknown
17.4,0.041343465,Unknown
18.9,2.960328591,Wetland Carbon Sink Restoration
24.0,0.386169991,Unknown
21.4,2.775677541,Unknown
13.1,3.301373504,Unknown
11.7,2.927202839,Wetland Carbon Sink Restoration
18.2,1.749127281,Wetland Carbon Sink Restoration
18.2,3.446046588,Unknown
19.2,1.716354713,Wetland Carbon Sink Restoration
18.6,2.022399664,Wetland Carbon Sink Restoration
12.9,2.172525643,Wetland Carbon Sink Restoration
16.8,3.305927502,Unknown
20.7,3.054484342,Urban Air Quality Monitoring Network
2.3,0.179865373,High-Altitude Glacier Protection
20.3,1.121660464,Unknown
16.5,2.716552849,Wetland Carbon Sink Restoration
12.1,0.951544593,Unknown
14.2,2.593296527,Wetland Carbon Sink Restoration
13.6,2.239855059,Wetland Carbon Sink Restoration
14.2,1.496629046,Wetland Carbon Sink Restoration
14.6,1.886773701,Wetland Carbon Sink Restoration
13.0,2.802219419,Wetland Carbon Sink Restoration
11.3,1.9958149,Wetland Carbon Sink Restoration
14.8,1.739719341,Wetland Carbon Sink Restoration
15.4,2.678021735,Wetland Carbon Sink Restoration
14.7,0.08259725,Unknown
16.4,2.515895012,Wetland Carbon Sink Restoration
14.9,2.943824765,Wetland Carbon Sink Restoration
16.7,3.136598503,Unknown
16.9,1.564493891,Wetland Carbon Sink Restoration
9.9,1.562584077,Integrated Mountain Ecosystem Management
13.4,2.221241325,Wetland Carbon Sink Restoration
10.8,1.608824693,Wetland Carbon Sink Restoration
9.8,0.114016453,Unknown
3.5,3.465653008,Unknown
4.2,0.397384833,High-Altitude Glacier Protection
25.2,1.91340803,Heat-Adapted Coastal Ecosystems
26.1,1.419136099,Heat-Adapted Coastal Ecosystems
26.1,3.133498595,Urban Air Quality Monitoring Network
24.7,0.198770369,Unknown
23.9,3.421470681,Urban Air Quality Monitoring Network
16.9,3.314616433,Unknown
23.5,2.544970444,Unknown
19.3,0.971130433,Unknown
25.5,1.554177403,Heat-Adapted Coastal Ecosystems
24.3,2.696035188,Unknown
25.8,0.115205647,Heat-Adapted Coastal Ecosystems
23.8,0.684503904,Unknown
25.1,2.39925615,Unknown
23.9,0.591971027,Unknown
25.3,2.196636066,Unknown
23.2,2.891457191,Unknown
21.8,1.554782499,Unknown
26.5,0.87359267,Heat-Adapted Coastal Ecosystems
22.2,2.129922618,Unknown
23.1,2.310834692,Unknown
20.8,1.037628083,Unknown
25.9,0.997918915,Heat-Adapted Coastal Ecosystems
25.0,0.509629435,Heat-Adapted Coastal Ecosystems
23.8,0.272001934,Unknown
25.6,3.544184072,Urban Air Quality Monitoring Network
22.9,1.788647378,Unknown
14.5,0.374732129,Unknown
13.6,2.063621341,Wetland Carbon Sink Restoration
13.7,2.020401794,Wetland Carbon Sink Restoration
14.7,2.234998856,Wetland Carbon Sink Restoration
20.9,0.578579064,Unknown
19.0,1.323435201,Wetland Carbon Sink Restoration
18.1,3.548089065,Unknown
20.7,3.403630597,Urban Air Quality Monitoring Network
22.8,1.856058968,Unknown
22.5,1.62833071,Unknown
22.6,0.425190172,Unknown
19.7,0.668498353,Unknown
22.2,3.076932767,Urban Air Quality Monitoring Network
21.0,3.33945975,Urban Air Quality Monitoring Network
23.5,3.430988829,Urban Air Quality Monitoring Network
23.3,1.385157656,Unknown
23.4,2.132973922,Unknown
18.4,2.476008376,Wetland Carbon Sink Restoration
23.8,3.237468865,Urban Air Quality Monitoring Network
23.6,3.593389009,Urban Air Quality Monitoring Network
16.8,0.847632546,Unknown
23.6,0.887167524,Unknown
23.8,2.595311428,Unknown
19.9,1.232898338,Wetland Carbon Sink Restoration
23.3,0.347397202,Unknown
21.2,2.194323092,Unknown
15.8,3.049423536,Unknown
26.2,0.566701496,Heat-Adapted Coastal Ecosystems
9.9,0.16678689,Unknown
20.3,2.016485755,Unknown
20.6,2.850085672,Unknown
21.9,3.063751943,Urban Air Quality Monitoring Network
21.4,2.159502964,Unknown
20.4,2.871002507,Unknown
28.5,0.647479264,Heat-Adapted Coastal Ecosystems
26.9,2.128474769,Unknown
28.1,0.955382027,Heat-Adapted Coastal Ecosystems
27.5,3.341594121,Urban Air Quality Monitoring Network
30.7,0.917779285,Heat-Adapted Coastal Ecosystems
29.3,0.95280462,Heat-Adapted Coastal Ecosystems
29.1,1.989301378,Heat-Adapted Coastal Ecosystems
30.9,3.374477822,Green Agriculture Initiatives
26.4,2.198740984,Unknown
32.2,3.250586752,Green Agriculture Initiatives
31.0,1.892302361,Heat-Adapted Coastal Ecosystems
22.4,2.988719605,Unknown
27.8,1.91501552,Heat-Adapted Coastal Ecosystems
23.9,3.313461751,Urban Air Quality Monitoring Network
27.4,0.563475347,Heat-Adapted Coastal Ecosystems
27.8,1.402234015,Heat-Adapted Coastal Ecosystems
21.0,1.121015986,Unknown
17.0,2.396834533,Wetland Carbon Sink Restoration
15.8,0.876934231,Unknown
19.6,3.363891595,Unknown
21.4,2.731024876,Unknown
19.4,3.25969927,Unknown
19.3,1.540637062,Wetland Carbon Sink Restoration
17.3,2.370303801,Wetland Carbon Sink Restoration
18.9,2.584674459,Wetland Carbon Sink Restoration
24.8,0.100264133,Unknown
21.6,0.269192886,Unknown
22.9,1.024847055,Unknown
24.7,2.640963647,Unknown
23.6,0.231744486,Unknown
26.9,0.90126529,Heat-Adapted Coastal Ecosystems
27.1,2.177724324,Unknown
19.7,3.323400081,Unknown
20.7,2.547447891,Unknown
21.5,2.25631387,Unknown
24.4,3.471704129,Urban Air Quality Monitoring Network
20.2,2.704582348,Unknown
19.0,1.86837344,Wetland Carbon Sink Restoration
18.8,0.177094149,Unknown
18.1,2.002705616,Wetland Carbon Sink Restoration
26.3,0.883424822,Heat-Adapted Coastal Ecosystems
25.3,3.588037923,Urban Air Quality Monitoring Network
27.6,2.89416419,Unknown
26.4,2.050580913,Unknown
22.3,0.004150616,Unknown
21.5,2.946204484,Unknown
21.9,3.136083179,Urban Air Quality Monitoring Network
25.1,2.821922542,Unknown
23.1,1.676717417,Unknown
21.0,0.633412173,Unknown
22.7,3.386908145,Urban Air Quality Monitoring Network
19.6,1.584425733,Wetland Carbon Sink Restoration
30.7,1.544131242,Heat-Adapted Coastal Ecosystems
31.0,0.823433003,Heat-Adapted Coastal Ecosystems
31.2,2.931930943,Unknown
17.7,3.273764408,Unknown
18.9,2.252046357,Wetland Carbon Sink Restoration
18.2,0.917297694,Unknown
26.4,2.256048907,Unknown
26.4,0.635463946,Heat-Adapted Coastal Ecosystems
29.7,1.160242187,Heat-Adapted Coastal Ecosystems
23.8,1.347963859,Unknown
23.9,3.57772644,Urban Air Quality Monitoring Network
16.9,0.002192764,Unknown
28.8,3.308939074,Urban Air Quality Monitoring Network
18.8,2.501826961,Wetland Carbon Sink Restoration
23.0,2.665147694,Unknown
28.1,1.791322828,Heat-Adapted Coastal Ecosystems
23.2,1.503607224,Unknown
18.0,2.090176692,Wetland Carbon Sink Restoration
17.8,1.652928388,Wetland Carbon Sink Restoration
26.6,2.029280807,Unknown
26.9,1.62442344,Heat-Adapted Coastal Ecosystems
25.1,1.283511499,Heat-Adapted Coastal Ecosystems
27.3,0.871288801,Heat-Adapted Coastal Ecosystems
28.6,1.7724996,Heat-Adapted Coastal Ecosystems
22.2,3.470739392,Urban Air Quality Monitoring Network
26.6,3.080628339,Urban Air Quality Monitoring Network
29.4,1.71018062,Heat-Adapted Coastal Ecosystems
21.0,2.079844735,Unknown
27.3,3.159046067,Urban Air Quality Monitoring Network
26.0,1.255546166,Heat-Adapted Coastal Ecosystems
28.3,2.543223845,Unknown
28.8,2.052822215,Unknown
28.2,1.402664383,Heat-Adapted Coastal Ecosystems
28.3,2.72198389,Unknown
27.2,0.820346722,Heat-Adapted Coastal Ecosystems
27.5,1.237208776,Heat-Adapted Coastal Ecosystems
26.2,3.213213319,Urban Air Quality Monitoring Network
27.1,0.764428849,Heat-Adapted Coastal Ecosystems
19.9,2.133643608,Wetland Carbon Sink Restoration
28.3,2.961807802,Unknown
27.8,0.51968846,Heat-Adapted Coastal Ecosystems
25.7,0.32502985,Heat-Adapted Coastal Ecosystems
26.8,2.215888257,Unknown
30.9,0.74009955,Heat-Adapted Coastal Ecosystems
26.2,1.11877419,Heat-Adapted Coastal Ecosystems
32.1,0.293758298,Heat-Adapted Coastal Ecosystems
33.1,2.123696395,Unknown
33.3,2.221026467,Unknown
32.1,1.436330898,Heat-Adapted Coastal Ecosystems
24.8,3.026867325,Urban Air Quality Monitoring Network
33.3,0.825997594,Heat-Adapted Coastal Ecosystems
27.5,2.829020129,Unknown
32.5,1.037252771,Heat-Adapted Coastal Ecosystems
30.9,0.84827711,Heat-Adapted Coastal Ecosystems
32.4,1.554201185,Heat-Adapted Coastal Ecosystems
33.2,0.557670789,Heat-Adapted Coastal Ecosystems
33.1,3.546362369,Green Agriculture Initiatives
21.4,0.916213874,Unknown
27.6,1.689876057,Heat-Adapted Coastal Ecosystems
27.3,2.619268814,Unknown
27.4,1.82477495,Heat-Adapted Coastal Ecosystems
26.9,0.990529583,Heat-Adapted Coastal Ecosystems
29.0,0.769263182,Heat-Adapted Coastal Ecosystems
29.0,3.22678403,Urban Air Quality Monitoring Network
29.2,1.755707268,Heat-Adapted Coastal Ecosystems
27.7,1.735051863,Heat-Adapted Coastal Ecosystems
27.6,3.54091637,Urban Air Quality Monitoring Network
26.6,2.820639291,Unknown
27.7,3.613112527,Urban Air Quality Monitoring Network
29.1,1.6806134,Heat-Adapted Coastal Ecosystems
27.7,3.56735094,Urban Air Quality Monitoring Network
30.1,2.422113843,Unknown
25.6,0.023075404,Heat-Adapted Coastal Ecosystems
24.5,0.032360046,Unknown
25.4,1.402159032,Heat-Adapted Coastal Ecosystems
30.8,0.6246251,Heat-Adapted Coastal Ecosystems
28.9,1.012163363,Heat-Adapted Coastal Ecosystems
30.8,1.343575174,Heat-Adapted Coastal Ecosystems
21.9,3.431579393,Urban Air Quality Monitoring Network
30.4,1.105315342,Heat-Adapted Coastal Ecosystems
29.2,0.841109647,Heat-Adapted Coastal Ecosystems
28.7,1.443742325,Heat-Adapted Coastal Ecosystems
29.2,2.749718809,Unknown
29.5,0.075305879,Heat-Adapted Coastal Ecosystems
32.7,3.463909715,Green Agriculture Initiatives
29.5,3.079253197,Urban Air Quality Monitoring Network
26.2,0.740534833,Heat-Adapted Coastal Ecosystems
31.7,1.315626337,Heat-Adapted Coastal Ecosystems
32.1,1.814220371,Heat-Adapted Coastal Ecosystems
29.0,3.357858478,Urban Air Quality Monitoring Network
28.7,0.856269831,Heat-Adapted Coastal Ecosystems
32.6,0.009516062,Heat-Adapted Coastal Ecosystems
31.4,0.14351374,Heat-Adapted Coastal Ecosystems
31.5,1.546924319,Heat-Adapted Coastal Ecosystems
31.9,1.961464991,Heat-Adapted Coastal Ecosystems
31.3,2.353012677,Unknown
29.1,3.257287197,Urban Air Quality Monitoring Network
32.7,0.02480484,Heat-Adapted Coastal Ecosystems
31.8,3.648597077,Green Agriculture Initiatives
32.3,2.810496309,Unknown
34.2,2.282163308,Unknown
33.7,0.392607899,Heat-Adapted Coastal Ecosystems
33.6,0.947801337,Heat-Adapted Coastal Ecosystems
33.3,2.513851627,Unknown
34.3,2.53419521,Unknown
33.1,3.023765809,Green Agriculture Initiatives
33.1,1.757545586,Heat-Adapted Coastal Ecosystems
33.6,2.147884663,Unknown
34.2,0.531283321,Heat-Adapted Coastal Ecosystems
32.6,0.828836185,Heat-Adapted Coastal Ecosystems
31.3,0.820859447,Heat-Adapted Coastal Ecosystems
30.1,3.455676494,Green Agriculture Initiatives
30.6,0.382298647,Heat-Adapted Coastal Ecosystems
30.6,2.521010292,Unknown
31.5,1.404447579,Heat-Adapted Coastal Ecosystems
28.1,0.680329781,Heat-Adapted Coastal Ecosystems
31.9,2.098109335,Unknown
32.4,0.328580437,Heat-Adapted Coastal Ecosystems
23.6,0.150151599,Unknown
21.0,1.212701053,Unknown
31.2,1.979337089,Heat-Adapted Coastal Ecosystems
31.6,2.024868885,Unknown
29.4,0.058336482,Heat-Adapted Coastal Ecosystems
32.6,2.319732486,Unknown
