air_temp,humidity,Land_Type
33.4,57.6,unknown
31.5,63.1,unknown
32.2,88.6,Tropical Storm Surge Defense
28.0,58.5,unknown
33.8,73.0,unknown
33.2,55.4,unknown
31.2,59.6,unknown
34.0,45.1,Urban Cool Roofs
28.2,52.1,unknown
34.3,89.9,Tropical Storm Surge Defense
32.1,39.0,Urban Cool Roofs
33.6,63.3,unknown
33.6,71.8,unknown
33.9,53.8,unknown
26.9,68.6,Tropical Urban Green Spaces
33.6,86.1,Tropical Storm Surge Defense
32.9,85.1,Tropical Storm Surge Defense
33.2,54.3,unknown
32.5,58.7,unknown
26.1,66.1,Tropical Urban Green Spaces
33.5,52.7,unknown
25.9,52.9,unknown
31.7,58.2,unknown
33.0,68.0,unknown
33.9,79.3,unknown
32.8,76.7,unknown
35.4,62.7,unknown
35.6,46.1,unknown
30.5,24.9,unknown
30.6,60.5,unknown
20.9,87.3,unknown
20.1,52.2,unknown
32.7,83.4,Tropical Storm Surge Defense
30.8,68.8,unknown
31.3,40.1,Urban Cool Roofs
23.5,59.6,unknown
23.9,87.6,unknown
34.1,35.3,Urban Cool Roofs
32.2,24.8,unknown
35.9,53.9,unknown
32.9,57.3,unknown
27.9,68.7,Tropical Urban Green Spaces
27.8,70.3,Tropical Urban Green Spaces
28.1,63.0,Tropical Urban Green Spaces
28.2,42.7,Urban Cool Roofs
28.9,63.3,Tropical Urban Green Spaces
31.6,27.7,unknown
21.1,46.0,Mediterranean Drought Management
28.8,36.1,Urban Cool Roofs
28.6,72.4,Tropical Urban Green Spaces
30.9,54.1,unknown
31.3,58.7,unknown
28.3,34.0,Urban Cool Roofs
28.9,89.9,Tropical Storm Surge Defense
26.3,73.2,Tropical Urban Green Spaces
20.6,80.3,unknown
28.9,51.4,unknown
29.6,56.2,unknown
29.4,88.5,Tropical Storm Surge Defense
27.3,54.4,unknown
25.8,41.8,Urban Cool Roofs
22.3,68.5,Tropical Urban Green Spaces
19.6,45.8,unknown
19.8,90.5,unknown
22.4,90.8,unknown
24.0,73.1,Tropical Urban Green Spaces
10.7,76.8,Temperate Wetland Restoration
13.4,33.5,unknown
16.7,68.8,Sub-Arctic Summer Heat Management
25.3,41.1,Urban Cool Roofs
25.9,37.0,Urban Cool Roofs
24.6,48.6,Mediterranean Drought Management
17.3,64.8,Sub-Arctic Summer Heat Management
2.2,43.7,unknown
3.8,38.4,unknown
24.0,24.0,unknown
26.3,47.2,Urban Cool Roofs
19.6,61.1,Sub-Arctic Summer Heat Management
22.0,44.9,Mediterranean Drought Management
17.7,52.8,Sub-Arctic Summer Heat Management
22.3,50.2,unknown
25.6,53.3,unknown
23.4,34.1,Mediterranean Drought Management
22.0,56.5,unknown
6.8,80.9,unknown
9.4,59.3,unknown
16.2,36.8,unknown
12.4,32.1,unknown
14.9,36.0,unknown
19.2,61.6,Sub-Arctic Summer Heat Management
19.6,34.5,unknown
18.5,48.1,unknown
17.5,59.1,Sub-Arctic Summer Heat Management
19.9,47.0,unknown
13.3,37.0,unknown
12.6,41.7,unknown
10.7,39.9,unknown
14.0,40.7,unknown
12.9,40.5,unknown
13.8,36.5,unknown
13.2,36.9,unknown
22.8,37.7,Mediterranean Drought Management
13.5,36.7,unknown
13.8,37.2,unknown
13.3,75.5,Temperate Wetland Restoration
3.2,3.2,unknown
4.0,23.3,unknown
2.3,47.9,unknown
4.1,84.7,unknown
39.7,44.9,unknown
2.9,76.5,unknown
4.8,40.9,unknown
5.4,42.3,unknown
4.6,42.6,unknown
6.6,42.4,unknown
4.7,44.7,unknown
4.7,44.7,unknown
11.9,33.7,unknown
19.1,32.4,unknown
3.3,45.1,unknown
11.2,69.3,Sub-Arctic Summer Heat Management
4.4,43.9,unknown
18.4,33.3,unknown
10.0,37.0,unknown
18.9,74.0,Temperate Wetland Restoration
20.6,32.2,Mediterranean Drought Management
18.7,34.2,unknown
17.9,79.6,Temperate Wetland Restoration
22.2,34.4,Mediterranean Drought Management
16.6,49.9,unknown
18.0,46.0,unknown
17.4,46.7,unknown
18.9,43.8,unknown
24.0,70.9,Tropical Urban Green Spaces
21.4,41.6,Mediterranean Drought Management
13.1,54.7,Sub-Arctic Summer Heat Management
11.7,62.6,Sub-Arctic Summer Heat Management
18.2,46.4,unknown
18.2,43.5,unknown
19.2,39.7,unknown
18.6,28.3,unknown
12.9,62.3,Sub-Arctic Summer Heat Management
16.8,46.8,unknown
20.7,45.6,Mediterranean Drought Management
2.3,47.4,unknown
20.3,43.9,Mediterranean Drought Management
16.5,27.5,unknown
12.1,46.5,unknown
14.2,45.3,unknown
13.6,46.2,unknown
14.2,37.4,unknown
14.6,42.4,unknown
13.0,45.6,unknown
11.3,79.6,Temperate Wetland Restoration
14.8,45.2,unknown
15.4,40.6,unknown
14.7,38.9,unknown
16.4,74.4,Temperate Wetland Restoration
14.9,39.6,unknown
16.7,41.2,unknown
16.9,40.4,unknown
9.9,85.9,unknown
13.4,64.3,Sub-Arctic Summer Heat Management
10.8,85.8,unknown
9.8,95.7,unknown
3.5,50.7,unknown
4.2,66.9,unknown
25.2,38.9,Urban Cool Roofs
26.1,38.9,Urban Cool Roofs
26.1,38.9,Urban Cool Roofs
24.7,40.5,Mediterranean Drought Management
23.9,56.8,unknown
16.9,52.9,Sub-Arctic Summer Heat Management
23.5,39.3,Mediterranean Drought Management
19.3,49.2,unknown
25.5,36.9,Urban Cool Roofs
24.3,56.1,unknown
25.8,51.3,unknown
23.8,56.6,unknown
25.1,53.0,unknown
23.9,86.4,unknown
25.3,52.6,unknown
23.2,56.2,unknown
21.8,67.0,Tropical Urban Green Spaces
26.5,88.0,Tropical Storm Surge Defense
22.2,66.8,Tropical Urban Green Spaces
23.1,66.1,Tropical Urban Green Spaces
20.8,68.8,Tropical Urban Green Spaces
25.9,46.4,Urban Cool Roofs
25.0,70.9,Tropical Urban Green Spaces
23.8,65.1,Tropical Urban Green Spaces
25.6,58.2,unknown
22.9,70.4,Tropical Urban Green Spaces
14.5,58.9,Sub-Arctic Summer Heat Management
13.6,47.2,unknown
13.7,36.1,unknown
14.7,36.8,unknown
20.9,38.9,Mediterranean Drought Management
19.0,65.4,Sub-Arctic Summer Heat Management
18.1,50.9,Sub-Arctic Summer Heat Management
20.7,41.0,Mediterranean Drought Management
22.8,37.7,Mediterranean Drought Management
22.5,35.9,Mediterranean Drought Management
22.6,51.5,unknown
19.7,40.3,unknown
22.2,46.1,Mediterranean Drought Management
21.0,25.1,unknown
23.5,58.5,unknown
23.3,19.6,unknown
23.4,20.5,unknown
18.4,65.8,Sub-Arctic Summer Heat Management
23.8,19.9,unknown
23.6,76.3,Tropical Urban Green Spaces
16.8,68.2,Sub-Arctic Summer Heat Management
23.6,34.3,Mediterranean Drought Management
23.8,19.9,unknown
19.9,68.7,Sub-Arctic Summer Heat Management
23.3,23.1,unknown
21.2,36.6,Mediterranean Drought Management
15.8,38.4,unknown
26.2,30.9,Urban Cool Roofs
9.9,41.5,unknown
20.3,60.9,Tropical Urban Green Spaces
20.6,35.0,Mediterranean Drought Management
21.9,30.9,Mediterranean Drought Management
21.4,58.8,unknown
20.4,33.4,Mediterranean Drought Management
28.5,29.4,unknown
26.9,31.8,Urban Cool Roofs
28.1,27.9,unknown
27.5,27.0,unknown
30.7,33.3,Urban Cool Roofs
29.3,72.9,Tropical Urban Green Spaces
29.1,46.7,Urban Cool Roofs
30.9,42.7,Urban Cool Roofs
26.4,51.2,unknown
32.2,48.3,Urban Cool Roofs
31.0,45.8,Urban Cool Roofs
22.4,64.9,Tropical Urban Green Spaces
27.8,48.7,Urban Cool Roofs
23.9,58.7,unknown
27.4,58.9,unknown
27.8,73.2,Tropical Urban Green Spaces
21.0,52.6,unknown
17.0,49.7,unknown
15.8,23.9,unknown
19.6,33.6,unknown
21.4,33.4,Mediterranean Drought Management
19.4,75.2,Temperate Wetland Restoration
19.3,87.6,unknown
17.3,79.8,Temperate Wetland Restoration
18.9,79.9,Temperate Wetland Restoration
24.8,62.0,Tropical Urban Green Spaces
21.6,88.8,unknown
22.9,71.4,Tropical Urban Green Spaces
24.7,25.9,unknown
23.6,66.4,Tropical Urban Green Spaces
26.9,35.3,Urban Cool Roofs
27.1,55.3,unknown
19.7,22.0,unknown
20.7,83.1,unknown
21.5,20.0,unknown
24.4,72.5,Tropical Urban Green Spaces
20.2,29.2,unknown
19.0,87.1,unknown
18.8,83.7,unknown
18.1,33.4,unknown
26.3,79.0,Tropical Urban Green Spaces
25.3,77.9,Tropical Urban Green Spaces
27.6,54.7,unknown
26.4,20.6,unknown
22.3,50.6,unknown
21.5,21.4,unknown
21.9,82.3,unknown
25.1,58.0,unknown
23.1,73.0,Tropical Urban Green Spaces
21.0,36.3,Mediterranean Drought Management
22.7,74.8,Tropical Urban Green Spaces
19.6,72.1,Temperate Wetland Restoration
30.7,60.6,unknown
31.0,82.0,Tropical Storm Surge Defense
31.2,54.7,unknown
17.7,71.3,Temperate Wetland Restoration
18.9,85.8,unknown
18.2,35.0,unknown
26.4,54.4,unknown
26.4,71.0,Tropical Urban Green Spaces
29.7,70.3,Tropical Urban Green Spaces
23.8,62.3,Tropical Urban Green Spaces
23.9,62.8,Tropical Urban Green Spaces
16.9,77.7,Temperate Wetland Restoration
28.8,35.9,Urban Cool Roofs
18.8,23.4,unknown
23.0,68.1,Tropical Urban Green Spaces
28.1,56.3,unknown
23.2,65.6,Tropical Urban Green Spaces
18.0,37.7,unknown
17.8,98.9,unknown
26.6,69.3,Tropical Urban Green Spaces
26.9,69.1,Tropical Urban Green Spaces
25.1,77.2,Tropical Urban Green Spaces
27.3,47.0,Urban Cool Roofs
28.6,67.1,Tropical Urban Green Spaces
22.2,89.9,unknown
26.6,49.2,Urban Cool Roofs
29.4,74.1,Tropical Urban Green Spaces
21.0,42.4,Mediterranean Drought Management
27.3,71.2,Tropical Urban Green Spaces
26.0,52.7,unknown
28.3,71.8,Tropical Urban Green Spaces
28.8,69.5,Tropical Urban Green Spaces
28.2,77.2,Tropical Urban Green Spaces
28.3,84.5,Tropical Storm Surge Defense
27.2,71.6,Tropical Urban Green Spaces
27.5,50.3,unknown
26.2,75.1,Tropical Urban Green Spaces
27.1,32.6,Urban Cool Roofs
19.9,75.5,Temperate Wetland Restoration
28.3,61.5,Tropical Urban Green Spaces
27.8,61.1,Tropical Urban Green Spaces
25.7,83.9,Tropical Storm Surge Defense
26.8,58.8,unknown
30.9,31.9,Urban Cool Roofs
26.2,65.1,Tropical Urban Green Spaces
32.1,46.2,Urban Cool Roofs
33.1,46.6,Urban Cool Roofs
33.3,48.1,Urban Cool Roofs
32.1,46.7,Urban Cool Roofs
24.8,67.5,Tropical Urban Green Spaces
33.3,44.9,Urban Cool Roofs
27.5,59.8,unknown
32.5,42.4,Urban Cool Roofs
30.9,82.5,Tropical Storm Surge Defense
32.4,64.3,unknown
33.2,62.7,unknown
33.1,62.8,unknown
21.4,81.9,unknown
27.6,52.7,unknown
27.3,50.8,unknown
27.4,21.5,unknown
26.9,70.3,Tropical Urban Green Spaces
29.0,49.2,Urban Cool Roofs
29.0,49.2,Urban Cool Roofs
29.2,50.6,unknown
27.7,56.4,unknown
27.6,32.9,Urban Cool Roofs
26.6,39.7,Urban Cool Roofs
27.7,68.6,Tropical Urban Green Spaces
29.1,74.4,Tropical Urban Green Spaces
27.7,76.1,Tropical Urban Green Spaces
30.1,56.6,unknown
25.6,77.0,Tropical Urban Green Spaces
24.5,67.9,Tropical Urban Green Spaces
25.4,72.6,Tropical Urban Green Spaces
30.8,51.9,unknown
28.9,55.9,unknown
30.8,53.2,unknown
21.9,81.4,unknown
30.4,80.6,Tropical Storm Surge Defense
29.2,57.0,unknown
28.7,62.0,Tropical Urban Green Spaces
29.2,59.9,unknown
29.5,60.9,Tropical Urban Green Spaces
32.7,48.4,Urban Cool Roofs
29.5,65.3,Tropical Urban Green Spaces
26.2,71.6,Tropical Urban Green Spaces
31.7,51.9,unknown
32.1,73.9,unknown
29.0,62.3,Tropical Urban Green Spaces
28.7,62.0,Tropical Urban Green Spaces
32.6,33.6,Urban Cool Roofs
31.4,60.1,unknown
31.5,27.3,unknown
31.9,54.1,unknown
31.3,56.9,unknown
29.1,65.9,Tropical Urban Green Spaces
32.7,56.5,unknown
31.8,59.8,unknown
32.3,87.4,Tropical Storm Surge Defense
34.2,59.0,unknown
33.7,86.3,Tropical Storm Surge Defense
33.6,61.3,unknown
33.3,56.5,unknown
34.3,54.9,unknown
33.1,56.4,unknown
33.1,54.5,unknown
33.6,55.3,unknown
34.2,54.8,unknown
32.6,56.8,unknown
31.3,66.2,unknown
30.1,46.1,Urban Cool Roofs
30.6,61.2,unknown
30.6,25.6,unknown
31.5,49.6,Urban Cool Roofs
28.1,42.5,Urban Cool Roofs
31.9,27.9,unknown
32.4,51.2,unknown
23.6,76.5,Tropical Urban Green Spaces
21.0,63.4,Tropical Urban Green Spaces
31.2,38.6,Urban Cool Roofs
31.6,47.2,Urban Cool Roofs
29.4,61.1,Tropical Urban Green Spaces
32.6,20.1,unknown
7.4,57.6,unknown
31.6,55.5,unknown
31.1,60.7,unknown
29.6,85.5,Tropical Storm Surge Defense
29.1,65.6,Tropical Urban Green Spaces
30.3,26.2,unknown
31.4,58.3,unknown
33.1,55.3,unknown
21.8,84.2,unknown
24.8,78.4,Tropical Urban Green Spaces
31.4,54.8,unknown
26.3,28.7,unknown
33.0,74.8,unknown
32.3,70.7,unknown
32.9,55.5,unknown
32.8,83.4,Tropical Storm Surge Defense
33.1,55.6,unknown
33.5,78.2,unknown
34.7,25.4,unknown
34.3,51.6,unknown
34.9,53.8,unknown
36.2,52.6,unknown
35.7,54.8,unknown
38.1,44.3,unknown
38.6,70.4,unknown
36.9,80.0,unknown
38.6,46.3,unknown
38.6,58.5,unknown
38.9,45.1,unknown
30.3,70.1,unknown
36.6,50.5,unknown
31.3,65.6,unknown
33.8,77.6,unknown
26.5,79.9,Tropical Urban Green Spaces
33.2,58.1,unknown
29.8,39.4,Urban Cool Roofs
35.5,88.7,unknown
24.3,82.9,unknown
20.6,85.9,unknown
27.2,51.2,unknown
28.3,71.6,Tropical Urban Green Spaces
27.9,45.3,Urban Cool Roofs
26.2,69.4,Tropical Urban Green Spaces
27.8,64.1,Tropical Urban Green Spaces
32.3,46.9,Urban Cool Roofs
27.4,24.4,unknown
33.2,83.8,Tropical Storm Surge Defense
33.3,49.1,Urban Cool Roofs
32.9,46.7,Urban Cool Roofs
28.4,62.2,Tropical Urban Green Spaces
31.8,46.1,Urban Cool Roofs
30.9,41.1,Urban Cool Roofs
35.1,60.1,unknown
31.1,54.9,unknown
33.3,59.3,unknown
33.0,89.0,Tropical Storm Surge Defense
33.3,43.6,Urban Cool Roofs
34.9,51.9,unknown
37.9,74.7,unknown
23.7,80.8,unknown
32.0,39.1,Urban Cool Roofs
30.3,72.9,unknown
32.1,59.7,unknown
33.8,41.6,Urban Cool Roofs
36.3,40.1,unknown
35.0,73.5,unknown
36.4,52.7,unknown
38.7,24.3,Desert Oasis Management
38.3,48.4,unknown
35.1,56.7,unknown
38.3,48.4,unknown
38.9,52.6,unknown
35.4,54.1,unknown
34.7,88.4,Tropical Storm Surge Defense
27.9,49.7,Urban Cool Roofs
28.1,60.1,Tropical Urban Green Spaces
28.9,24.9,unknown
29.4,58.7,unknown
28.1,66.9,Tropical Urban Green Spaces
29.2,35.1,Urban Cool Roofs
16.9,45.6,unknown
31.6,48.5,Urban Cool Roofs
31.6,48.5,Urban Cool Roofs
31.0,44.1,Urban Cool Roofs
31.9,43.9,Urban Cool Roofs
29.4,52.9,unknown
29.7,48.6,Urban Cool Roofs
31.6,48.5,Urban Cool Roofs
30.1,43.2,Urban Cool Roofs
31.0,28.3,unknown
27.1,54.7,unknown
31.2,72.2,unknown
28.9,54.7,unknown
30.9,50.9,unknown
27.7,53.6,unknown
30.7,47.8,Urban Cool Roofs
28.2,54.5,unknown
30.0,52.6,unknown
32.4,54.6,unknown
28.9,54.7,unknown
34.4,47.6,Urban Cool Roofs
31.5,27.3,unknown
30.3,47.1,Urban Cool Roofs
34.2,60.6,unknown
34.4,48.8,Urban Cool Roofs
28.7,58.6,unknown
33.9,42.6,Urban Cool Roofs
30.8,52.6,unknown
31.3,49.8,Urban Cool Roofs
27.8,24.6,unknown
29.6,49.1,Urban Cool Roofs
27.8,62.3,Tropical Urban Green Spaces
33.7,49.9,Urban Cool Roofs
31.7,51.1,unknown
29.4,54.5,unknown
29.5,55.4,unknown
29.6,51.4,unknown
32.0,56.8,unknown
30.6,66.7,unknown
24.4,84.3,unknown
25.0,29.6,unknown
30.8,68.6,unknown
30.3,66.5,unknown
30.3,66.5,unknown
26.3,23.7,unknown
26.3,70.4,Tropical Urban Green Spaces
20.4,89.5,unknown
22.7,82.5,unknown
20.6,25.0,unknown
19.7,27.2,unknown
26.0,74.3,Tropical Urban Green Spaces
20.6,87.6,unknown
27.4,69.3,Tropical Urban Green Spaces
26.2,65.2,Tropical Urban Green Spaces
31.1,55.8,unknown
27.8,67.6,Tropical Urban Green Spaces
26.0,73.2,Tropical Urban Green Spaces
27.2,51.8,unknown
29.9,53.9,unknown
29.7,51.4,unknown
28.6,66.7,Tropical Urban Green Spaces
28.2,64.9,Tropical Urban Green Spaces
25.1,78.4,Tropical Urban Green Spaces
29.8,46.2,Urban Cool Roofs
31.1,53.1,unknown
22.7,76.9,Tropical Urban Green Spaces
32.6,45.6,Urban Cool Roofs
26.6,24.6,unknown
26.1,70.1,Tropical Urban Green Spaces
33.0,36.3,Urban Cool Roofs
32.9,77.7,unknown
33.2,53.2,unknown
31.1,49.8,Urban Cool Roofs
15.8,58.7,Sub-Arctic Summer Heat Management
29.6,64.6,Tropical Urban Green Spaces
32.7,64.3,unknown
32.8,54.2,unknown
26.1,74.8,Tropical Urban Green Spaces
27.1,82.6,Tropical Storm Surge Defense
27.8,71.0,Tropical Urban Green Spaces
27.1,71.7,Tropical Urban Green Spaces
32.6,62.5,unknown
28.1,71.3,Tropical Urban Green Spaces
25.2,66.2,Tropical Urban Green Spaces
32.4,58.6,unknown
24.3,78.6,Tropical Urban Green Spaces
32.2,61.1,unknown
28.6,24.5,unknown
27.4,71.0,Tropical Urban Green Spaces
31.9,58.7,unknown
27.0,26.2,unknown
28.9,69.9,Tropical Urban Green Spaces
30.4,67.1,unknown
28.5,81.6,Tropical Storm Surge Defense
31.7,68.6,unknown
32.5,36.2,Urban Cool Roofs
32.0,51.8,unknown
29.1,72.7,Tropical Urban Green Spaces
25.8,79.4,Tropical Urban Green Spaces
27.4,73.2,Tropical Urban Green Spaces
34.4,55.9,unknown
33.9,60.3,unknown
28.7,70.6,Tropical Urban Green Spaces
25.2,76.7,Tropical Urban Green Spaces
34.8,57.8,unknown
34.0,84.6,Tropical Storm Surge Defense
26.0,46.3,Urban Cool Roofs
30.2,68.0,unknown
28.5,72.2,Tropical Urban Green Spaces
35.8,52.0,unknown
35.2,74.4,unknown
29.1,68.4,Tropical Urban Green Spaces
31.3,61.9,unknown
35.3,66.1,unknown
34.8,55.6,unknown
34.3,83.5,Tropical Storm Surge Defense
35.6,54.4,unknown
27.9,55.6,unknown
21.4,77.6,Tropical Urban Green Spaces
28.5,57.4,unknown
24.5,75.5,Tropical Urban Green Spaces
31.3,65.2,unknown
31.6,63.8,unknown
32.4,63.7,unknown
28.4,66.8,Tropical Urban Green Spaces
35.4,48.5,unknown
25.1,64.6,Tropical Urban Green Spaces
25.3,59.9,unknown
28.5,59.8,unknown
27.3,43.4,Urban Cool Roofs
23.3,42.7,Mediterranean Drought Management
28.2,31.8,Urban Cool Roofs
34.4,63.9,unknown
31.7,68.9,unknown
31.9,72.6,unknown
41.2,33.5,unknown
37.5,42.2,unknown
32.7,39.5,Urban Cool Roofs
20.6,73.7,Tropical Urban Green Spaces
37.7,36.6,unknown
35.0,51.4,unknown
26.3,54.9,unknown
10.4,44.5,unknown
1.3,80.4,unknown
13.9,54.6,Sub-Arctic Summer Heat Management
21.8,35.9,Mediterranean Drought Management
12.1,33.3,unknown
35.3,32.6,unknown
10.0,37.6,unknown
3.6,39.5,unknown
2.5,42.4,unknown
4.9,43.7,unknown
17.5,31.1,unknown
24.5,30.7,Mediterranean Drought Management
25.7,38.6,Urban Cool Roofs
15.0,32.8,unknown
16.1,77.1,Temperate Wetland Restoration
14.1,56.7,Sub-Arctic Summer Heat Management
19.3,56.8,Sub-Arctic Summer Heat Management
17.6,55.7,Sub-Arctic Summer Heat Management
8.6,40.9,unknown
3.8,58.9,unknown
15.1,38.6,unknown
15.4,58.6,Sub-Arctic Summer Heat Management
13.4,96.0,unknown
14.1,95.6,unknown
23.5,42.6,Mediterranean Drought Management
26.1,48.1,Urban Cool Roofs
23.3,68.6,Tropical Urban Green Spaces
22.7,61.5,Tropical Urban Green Spaces
26.2,66.8,Tropical Urban Green Spaces
25.6,68.4,Tropical Urban Green Spaces
18.2,50.6,Sub-Arctic Summer Heat Management
25.4,37.9,Urban Cool Roofs
25.6,37.5,Urban Cool Roofs
25.6,37.5,Urban Cool Roofs
