air_temp,humidity,Land_Type
11.3,79.6,Temperate Wetland Restoration
16.4,74.4,Temperate Wetland Restoration
13.4,64.3,Sub-Arctic Summer Heat Management
25.2,38.9,Urban Cool Roofs
26.1,38.9,Urban Cool Roofs
26.1,38.9,Urban Cool Roofs
24.7,40.5,Mediterranean Drought Management
16.9,52.9,Sub-Arctic Summer Heat Management
23.5,39.3,Mediterranean Drought Management
25.5,36.9,Urban Cool Roofs
21.8,67.0,Tropical Urban Green Spaces
26.5,88.0,Tropical Storm Surge Defense
22.2,66.8,Tropical Urban Green Spaces
23.1,66.1,Tropical Urban Green Spaces
20.8,68.8,Tropical Urban Green Spaces
25.9,46.4,Urban Cool Roofs
25.0,70.9,Tropical Urban Green Spaces
23.8,65.1,Tropical Urban Green Spaces
22.9,70.4,Tropical Urban Green Spaces
14.5,58.9,Sub-Arctic Summer Heat Management
20.9,38.9,Mediterranean Drought Management
19.0,65.4,Sub-Arctic Summer Heat Management
18.1,50.9,Sub-Arctic Summer Heat Management
20.7,41.0,Mediterranean Drought Management
22.8,37.7,Mediterranean Drought Management
22.5,35.9,Mediterranean Drought Management
22.2,46.1,Mediterranean Drought Management
18.4,65.8,Sub-Arctic Summer Heat Management
23.6,76.3,Tropical Urban Green Spaces
16.8,68.2,Sub-Arctic Summer Heat Management
23.6,34.3,Mediterranean Drought Management
19.9,68.7,Sub-Arctic Summer Heat Management
21.2,36.6,Mediterranean Drought Management
26.2,30.9,Urban Cool Roofs
20.3,60.9,Tropical Urban Green Spaces
20.6,35.0,Mediterranean Drought Management
21.9,30.9,Mediterranean Drought Management
20.4,33.4,Mediterranean Drought Management
26.9,31.8,Urban Cool Roofs
30.7,33.3,Urban Cool Roofs
29.3,72.9,Tropical Urban Green Spaces
29.1,46.7,Urban Cool Roofs
30.9,42.7,Urban Cool Roofs
32.2,48.3,Urban Cool Roofs
31.0,45.8,Urban Cool Roofs
22.4,64.9,Tropical Urban Green Spaces
27.8,48.7,Urban Cool Roofs
27.8,73.2,Tropical Urban Green Spaces
21.4,33.4,Mediterranean Drought Management
19.4,75.2,Temperate Wetland Restoration
17.3,79.8,Temperate Wetland Restoration
18.9,79.9,Temperate Wetland Restoration
24.8,62.0,Tropical Urban Green Spaces
22.9,71.4,Tropical Urban Green Spaces
23.6,66.4,Tropical Urban Green Spaces
26.9,35.3,Urban Cool Roofs
24.4,72.5,Tropical Urban Green Spaces
26.3,79.0,Tropical Urban Green Spaces
25.3,77.9,Tropical Urban Green Spaces
23.1,73.0,Tropical Urban Green Spaces
21.0,36.3,Mediterranean Drought Management
22.7,74.8,Tropical Urban Green Spaces
19.6,72.1,Temperate Wetland Restoration
31.0,82.0,Tropical Storm Surge Defense
17.7,71.3,Temperate Wetland Restoration
26.4,71.0,Tropical Urban Green Spaces
29.7,70.3,Tropical Urban Green Spaces
23.8,62.3,Tropical Urban Green Spaces
23.9,62.8,Tropical Urban Green Spaces
16.9,77.7,Temperate Wetland Restoration
28.8,35.9,Urban Cool Roofs
23.0,68.1,Tropical Urban Green Spaces
23.2,65.6,Tropical Urban Green Spaces
26.6,69.3,Tropical Urban Green Spaces
26.9,69.1,Tropical Urban Green Spaces
25.1,77.2,Tropical Urban Green Spaces
27.3,47.0,Urban Cool Roofs
28.6,67.1,Tropical Urban Green Spaces
26.6,49.2,Urban Cool Roofs
29.4,74.1,Tropical Urban Green Spaces
21.0,42.4,Mediterranean Drought Management
27.3,71.2,Tropical Urban Green Spaces
28.3,71.8,Tropical Urban Green Spaces
28.8,69.5,Tropical Urban Green Spaces
28.2,77.2,Tropical Urban Green Spaces
28.3,84.5,Tropical Storm Surge Defense
27.2,71.6,Tropical Urban Green Spaces
26.2,75.1,Tropical Urban Green Spaces
27.1,32.6,Urban Cool Roofs
19.9,75.5,Temperate Wetland Restoration
28.3,61.5,Tropical Urban Green Spaces
27.8,61.1,Tropical Urban Green Spaces
25.7,83.9,Tropical Storm Surge Defense
30.9,31.9,Urban Cool Roofs
26.2,65.1,Tropical Urban Green Spaces
32.1,46.2,Urban Cool Roofs
33.1,46.6,Urban Cool Roofs
33.3,48.1,Urban Cool Roofs
32.1,46.7,Urban Cool Roofs
24.8,67.5,Tropical Urban Green Spaces
33.3,44.9,Urban Cool Roofs
32.5,42.4,Urban Cool Roofs
30.9,82.5,Tropical Storm Surge Defense
26.9,70.3,Tropical Urban Green Spaces
29.0,49.2,Urban Cool Roofs
29.0,49.2,Urban Cool Roofs
27.6,32.9,Urban Cool Roofs
26.6,39.7,Urban Cool Roofs
27.7,68.6,Tropical Urban Green Spaces
29.1,74.4,Tropical Urban Green Spaces
27.7,76.1,Tropical Urban Green Spaces
25.6,77.0,Tropical Urban Green Spaces
24.5,67.9,Tropical Urban Green Spaces
25.4,72.6,Tropical Urban Green Spaces
30.4,80.6,Tropical Storm Surge Defense
28.7,62.0,Tropical Urban Green Spaces
29.5,60.9,Tropical Urban Green Spaces
32.7,48.4,Urban Cool Roofs
29.5,65.3,Tropical Urban Green Spaces
26.2,71.6,Tropical Urban Green Spaces
29.0,62.3,Tropical Urban Green Spaces
28.7,62.0,Tropical Urban Green Spaces
32.6,33.6,Urban Cool Roofs
29.1,65.9,Tropical Urban Green Spaces
32.3,87.4,Tropical Storm Surge Defense
33.7,86.3,Tropical Storm Surge Defense
30.1,46.1,Urban Cool Roofs
31.5,49.6,Urban Cool Roofs
28.1,42.5,Urban Cool Roofs
23.6,76.5,Tropical Urban Green Spaces
21.0,63.4,Tropical Urban Green Spaces
31.2,38.6,Urban Cool Roofs
31.6,47.2,Urban Cool Roofs
29.4,61.1,Tropical Urban Green Spaces
29.6,85.5,Tropical Storm Surge Defense
29.1,65.6,Tropical Urban Green Spaces
24.8,78.4,Tropical Urban Green Spaces
32.8,83.4,Tropical Storm Surge Defense
26.5,79.9,Tropical Urban Green Spaces
29.8,39.4,Urban Cool Roofs
28.3,71.6,Tropical Urban Green Spaces
27.9,45.3,Urban Cool Roofs
26.2,69.4,Tropical Urban Green Spaces
27.8,64.1,Tropical Urban Green Spaces
32.3,46.9,Urban Cool Roofs
33.2,83.8,Tropical Storm Surge Defense
33.3,49.1,Urban Cool Roofs
32.9,46.7,Urban Cool Roofs
28.4,62.2,Tropical Urban Green Spaces
31.8,46.1,Urban Cool Roofs
30.9,41.1,Urban Cool Roofs
33.0,89.0,Tropical Storm Surge Defense
33.3,43.6,Urban Cool Roofs
32.0,39.1,Urban Cool Roofs
33.8,41.6,Urban Cool Roofs
38.7,24.3,Desert Oasis Management
34.7,88.4,Tropical Storm Surge Defense
27.9,49.7,Urban Cool Roofs
28.1,60.1,Tropical Urban Green Spaces
28.1,66.9,Tropical Urban Green Spaces
29.2,35.1,Urban Cool Roofs
31.6,48.5,Urban Cool Roofs
31.6,48.5,Urban Cool Roofs
31.0,44.1,Urban Cool Roofs
31.9,43.9,Urban Cool Roofs
29.7,48.6,Urban Cool Roofs
31.6,48.5,Urban Cool Roofs
30.1,43.2,Urban Cool Roofs
30.7,47.8,Urban Cool Roofs
34.4,47.6,Urban Cool Roofs
30.3,47.1,Urban Cool Roofs
34.4,48.8,Urban Cool Roofs
33.9,42.6,Urban Cool Roofs
31.3,49.8,Urban Cool Roofs
29.6,49.1,Urban Cool Roofs
27.8,62.3,Tropical Urban Green Spaces
33.7,49.9,Urban Cool Roofs
26.3,70.4,Tropical Urban Green Spaces
26.0,74.3,Tropical Urban Green Spaces
27.4,69.3,Tropical Urban Green Spaces
26.2,65.2,Tropical Urban Green Spaces
27.8,67.6,Tropical Urban Green Spaces
26.0,73.2,Tropical Urban Green Spaces
28.6,66.7,Tropical Urban Green Spaces
28.2,64.9,Tropical Urban Green Spaces
25.1,78.4,Tropical Urban Green Spaces
29.8,46.2,Urban Cool Roofs
22.7,76.9,Tropical Urban Green Spaces
32.6,45.6,Urban Cool Roofs
26.1,70.1,Tropical Urban Green Spaces
33.0,36.3,Urban Cool Roofs
31.1,49.8,Urban Cool Roofs
15.8,58.7,Sub-Arctic Summer Heat Management
29.6,64.6,Tropical Urban Green Spaces
26.1,74.8,Tropical Urban Green Spaces
27.1,82.6,Tropical Storm Surge Defense
27.8,71.0,Tropical Urban Green Spaces
27.1,71.7,Tropical Urban Green Spaces
28.1,71.3,Tropical Urban Green Spaces
25.2,66.2,Tropical Urban Green Spaces
24.3,78.6,Tropical Urban Green Spaces
27.4,71.0,Tropical Urban Green Spaces
28.9,69.9,Tropical Urban Green Spaces
28.5,81.6,Tropical Storm Surge Defense
32.5,36.2,Urban Cool Roofs
29.1,72.7,Tropical Urban Green Spaces
25.8,79.4,Tropical Urban Green Spaces
27.4,73.2,Tropical Urban Green Spaces
28.7,70.6,Tropical Urban Green Spaces
25.2,76.7,Tropical Urban Green Spaces
34.0,84.6,Tropical Storm Surge Defense
26.0,46.3,Urban Cool Roofs
28.5,72.2,Tropical Urban Green Spaces
29.1,68.4,Tropical Urban Green Spaces
34.3,83.5,Tropical Storm Surge Defense
21.4,77.6,Tropical Urban Green Spaces
24.5,75.5,Tropical Urban Green Spaces
28.4,66.8,Tropical Urban Green Spaces
25.1,64.6,Tropical Urban Green Spaces
27.3,43.4,Urban Cool Roofs
23.3,42.7,Mediterranean Drought Management
28.2,31.8,Urban Cool Roofs
32.7,39.5,Urban Cool Roofs
20.6,73.7,Tropical Urban Green Spaces
13.9,54.6,Sub-Arctic Summer Heat Management
21.8,35.9,Mediterranean Drought Management
24.5,30.7,Mediterranean Drought Management
25.7,38.6,Urban Cool Roofs
16.1,77.1,Temperate Wetland Restoration
14.1,56.7,Sub-Arctic Summer Heat Management
19.3,56.8,Sub-Arctic Summer Heat Management
17.6,55.7,Sub-Arctic Summer Heat Management
15.4,58.6,Sub-Arctic Summer Heat Management
23.5,42.6,Mediterranean Drought Management
26.1,48.1,Urban Cool Roofs
23.3,68.6,Tropical Urban Green Spaces
22.7,61.5,Tropical Urban Green Spaces
26.2,66.8,Tropical Urban Green Spaces
25.6,68.4,Tropical Urban Green Spaces
18.2,50.6,Sub-Arctic Summer Heat Management
25.4,37.9,Urban Cool Roofs
25.6,37.5,Urban Cool Roofs
25.6,37.5,Urban Cool Roofs
24.7,36.6,Mediterranean Drought Management
30.7,37.1,Urban Cool Roofs
21.4,71.4,Tropical Urban Green Spaces
28.9,48.6,Urban Cool Roofs
30.7,35.9,Urban Cool Roofs
27.9,49.3,Urban Cool Roofs
23.8,37.9,Mediterranean Drought Management
17.9,68.7,Sub-Arctic Summer Heat Management
27.3,60.8,Tropical Urban Green Spaces
28.6,44.7,Urban Cool Roofs
20.2,75.6,Tropical Urban Green Spaces
18.8,78.2,Temperate Wetland Restoration
26.5,89.7,Tropical Storm Surge Defense
19.4,77.9,Temperate Wetland Restoration
28.2,42.6,Urban Cool Roofs
26.8,43.7,Urban Cool Roofs
30.2,42.4,Urban Cool Roofs
29.4,65.3,Tropical Urban Green Spaces
24.1,62.3,Tropical Urban Green Spaces
27.4,68.9,Tropical Urban Green Spaces
24.6,67.2,Tropical Urban Green Spaces
30.1,49.7,Urban Cool Roofs
27.8,73.3,Tropical Urban Green Spaces
21.9,66.9,Tropical Urban Green Spaces
27.4,62.3,Tropical Urban Green Spaces
30.1,49.9,Urban Cool Roofs
29.9,68.2,Tropical Urban Green Spaces
27.3,71.4,Tropical Urban Green Spaces
27.6,75.1,Tropical Urban Green Spaces
26.5,79.3,Tropical Urban Green Spaces
27.7,68.5,Tropical Urban Green Spaces
31.7,48.1,Urban Cool Roofs
32.7,44.9,Urban Cool Roofs
30.0,68.9,Tropical Urban Green Spaces
28.7,61.3,Tropical Urban Green Spaces
28.9,72.3,Tropical Urban Green Spaces
26.9,82.1,Tropical Storm Surge Defense
23.1,64.6,Tropical Urban Green Spaces
27.3,66.8,Tropical Urban Green Spaces
26.6,34.5,Urban Cool Roofs
26.9,70.2,Tropical Urban Green Spaces
13.8,76.9,Temperate Wetland Restoration
13.4,54.2,Sub-Arctic Summer Heat Management
13.0,62.1,Sub-Arctic Summer Heat Management
20.6,70.6,Tropical Urban Green Spaces
23.1,74.4,Tropical Urban Green Spaces
12.5,55.6,Sub-Arctic Summer Heat Management
11.1,51.6,Sub-Arctic Summer Heat Management
22.3,46.6,Mediterranean Drought Management
23.1,68.9,Tropical Urban Green Spaces
22.9,44.7,Mediterranean Drought Management
26.0,30.6,Urban Cool Roofs
28.8,43.9,Urban Cool Roofs
28.3,63.8,Tropical Urban Green Spaces
29.7,39.4,Urban Cool Roofs
27.2,37.1,Urban Cool Roofs
31.3,49.3,Urban Cool Roofs
26.1,60.3,Tropical Urban Green Spaces
10.9,62.9,Sub-Arctic Summer Heat Management
23.4,36.8,Mediterranean Drought Management
14.4,69.3,Sub-Arctic Summer Heat Management
10.2,72.3,Temperate Wetland Restoration
29.5,66.5,Tropical Urban Green Spaces
28.3,48.4,Urban Cool Roofs
30.2,45.6,Urban Cool Roofs
34.6,48.7,Urban Cool Roofs
28.5,66.1,Tropical Urban Green Spaces
29.9,62.2,Tropical Urban Green Spaces
27.1,83.3,Tropical Storm Surge Defense
25.6,48.6,Urban Cool Roofs
25.1,69.8,Tropical Urban Green Spaces
25.0,72.0,Tropical Urban Green Spaces
30.6,36.4,Urban Cool Roofs
28.4,64.0,Tropical Urban Green Spaces
27.6,32.7,Urban Cool Roofs
24.2,39.7,Mediterranean Drought Management
20.3,78.7,Tropical Urban Green Spaces
11.2,61.7,Sub-Arctic Summer Heat Management
21.1,38.7,Mediterranean Drought Management
20.3,42.7,Mediterranean Drought Management
13.9,76.8,Temperate Wetland Restoration
14.7,59.6,Sub-Arctic Summer Heat Management
16.3,50.4,Sub-Arctic Summer Heat Management
15.6,52.0,Sub-Arctic Summer Heat Management
10.0,74.3,Temperate Wetland Restoration
21.1,34.8,Mediterranean Drought Management
23.9,65.8,Tropical Urban Green Spaces
23.7,45.1,Mediterranean Drought Management
24.4,35.3,Mediterranean Drought Management
19.3,64.7,Sub-Arctic Summer Heat Management
19.9,64.8,Sub-Arctic Summer Heat Management
19.0,60.0,Sub-Arctic Summer Heat Management
17.5,70.4,Temperate Wetland Restoration
24.4,31.3,Mediterranean Drought Management
24.3,42.4,Mediterranean Drought Management
22.6,48.4,Mediterranean Drought Management
27.9,49.2,Urban Cool Roofs
28.0,64.2,Tropical Urban Green Spaces
10.2,52.5,Sub-Arctic Summer Heat Management
25.6,34.6,Urban Cool Roofs
27.4,41.7,Urban Cool Roofs
18.7,69.6,Sub-Arctic Summer Heat Management
21.0,37.9,Mediterranean Drought Management
14.1,79.0,Temperate Wetland Restoration
15.3,79.0,Temperate Wetland Restoration
19.5,68.5,Sub-Arctic Summer Heat Management
13.5,68.8,Sub-Arctic Summer Heat Management
18.7,66.7,Sub-Arctic Summer Heat Management
12.1,74.9,Temperate Wetland Restoration
11.3,79.7,Temperate Wetland Restoration
16.1,67.0,Sub-Arctic Summer Heat Management
16.7,70.6,Temperate Wetland Restoration
13.8,73.4,Temperate Wetland Restoration
11.6,50.9,Sub-Arctic Summer Heat Management
13.1,50.1,Sub-Arctic Summer Heat Management
15.3,79.6,Temperate Wetland Restoration
16.1,75.8,Temperate Wetland Restoration
12.6,77.4,Temperate Wetland Restoration
14.5,76.2,Temperate Wetland Restoration
14.1,72.4,Temperate Wetland Restoration
15.8,68.2,Sub-Arctic Summer Heat Management
12.3,66.2,Sub-Arctic Summer Heat Management
25.2,78.6,Tropical Urban Green Spaces
15.0,59.8,Sub-Arctic Summer Heat Management
15.1,68.1,Sub-Arctic Summer Heat Management
15.6,65.2,Sub-Arctic Summer Heat Management
12.5,75.8,Temperate Wetland Restoration
20.1,48.8,Mediterranean Drought Management
13.0,62.4,Sub-Arctic Summer Heat Management
25.3,32.4,Urban Cool Roofs
22.3,36.7,Mediterranean Drought Management
16.3,50.2,Sub-Arctic Summer Heat Management
24.2,41.0,Mediterranean Drought Management
22.2,38.4,Mediterranean Drought Management
21.0,42.2,Mediterranean Drought Management
20.6,40.3,Mediterranean Drought Management
23.9,40.8,Mediterranean Drought Management
21.3,42.1,Mediterranean Drought Management
20.8,40.3,Mediterranean Drought Management
16.8,50.2,Sub-Arctic Summer Heat Management
12.2,57.7,Sub-Arctic Summer Heat Management
21.5,36.2,Mediterranean Drought Management
27.1,49.5,Urban Cool Roofs
27.5,48.6,Urban Cool Roofs
26.6,43.6,Urban Cool Roofs
22.0,44.3,Mediterranean Drought Management
26.7,49.1,Urban Cool Roofs
25.4,76.7,Tropical Urban Green Spaces
21.5,64.2,Tropical Urban Green Spaces
26.4,48.1,Urban Cool Roofs
24.9,64.6,Tropical Urban Green Spaces
23.2,69.5,Tropical Urban Green Spaces
12.8,75.2,Temperate Wetland Restoration
13.7,68.8,Sub-Arctic Summer Heat Management
14.4,62.1,Sub-Arctic Summer Heat Management
14.3,62.5,Sub-Arctic Summer Heat Management
20.6,79.5,Tropical Urban Green Spaces
14.9,64.9,Sub-Arctic Summer Heat Management
17.7,62.3,Sub-Arctic Summer Heat Management
12.7,72.8,Temperate Wetland Restoration
16.9,79.5,Temperate Wetland Restoration
16.7,62.9,Sub-Arctic Summer Heat Management
22.9,72.5,Tropical Urban Green Spaces
12.9,53.8,Sub-Arctic Summer Heat Management
21.9,41.1,Mediterranean Drought Management
15.3,56.8,Sub-Arctic Summer Heat Management
18.8,62.0,Sub-Arctic Summer Heat Management
14.6,76.1,Temperate Wetland Restoration
14.8,54.1,Sub-Arctic Summer Heat Management
15.8,56.2,Sub-Arctic Summer Heat Management
18.2,54.2,Sub-Arctic Summer Heat Management
14.6,66.0,Sub-Arctic Summer Heat Management
12.3,55.0,Sub-Arctic Summer Heat Management
10.2,59.2,Sub-Arctic Summer Heat Management
11.7,50.3,Sub-Arctic Summer Heat Management
11.9,50.1,Sub-Arctic Summer Heat Management
11.2,62.3,Sub-Arctic Summer Heat Management
20.7,38.0,Mediterranean Drought Management
18.6,52.7,Sub-Arctic Summer Heat Management
23.3,45.5,Mediterranean Drought Management
23.4,44.6,Mediterranean Drought Management
22.3,47.4,Mediterranean Drought Management
24.2,78.3,Tropical Urban Green Spaces
23.9,33.5,Mediterranean Drought Management
23.6,38.0,Mediterranean Drought Management
22.2,65.1,Tropical Urban Green Spaces
23.9,69.3,Tropical Urban Green Spaces
25.2,62.1,Tropical Urban Green Spaces
25.5,64.4,Tropical Urban Green Spaces
24.9,47.1,Mediterranean Drought Management
25.8,47.1,Urban Cool Roofs
10.1,76.3,Temperate Wetland Restoration
17.5,79.0,Temperate Wetland Restoration
11.9,79.2,Temperate Wetland Restoration
11.7,50.3,Sub-Arctic Summer Heat Management
11.7,75.4,Temperate Wetland Restoration
11.4,78.6,Temperate Wetland Restoration
25.4,31.4,Urban Cool Roofs
20.6,34.8,Mediterranean Drought Management
11.8,60.5,Sub-Arctic Summer Heat Management
26.2,41.3,Urban Cool Roofs
23.0,65.1,Tropical Urban Green Spaces
23.8,38.3,Mediterranean Drought Management
24.9,37.5,Mediterranean Drought Management
21.2,33.6,Mediterranean Drought Management
21.7,35.5,Mediterranean Drought Management
20.3,42.9,Mediterranean Drought Management
22.0,33.5,Mediterranean Drought Management
19.0,51.8,Sub-Arctic Summer Heat Management
26.6,43.0,Urban Cool Roofs
18.6,56.6,Sub-Arctic Summer Heat Management
19.9,54.2,Sub-Arctic Summer Heat Management
18.0,61.0,Sub-Arctic Summer Heat Management
21.6,45.4,Mediterranean Drought Management
14.5,66.7,Sub-Arctic Summer Heat Management
16.1,61.6,Sub-Arctic Summer Heat Management
13.5,55.4,Sub-Arctic Summer Heat Management
12.8,74.4,Temperate Wetland Restoration
15.6,52.8,Sub-Arctic Summer Heat Management
14.8,52.9,Sub-Arctic Summer Heat Management
15.4,52.6,Sub-Arctic Summer Heat Management
14.3,57.6,Sub-Arctic Summer Heat Management
21.2,32.6,Mediterranean Drought Management
28.1,41.0,Urban Cool Roofs
27.1,70.1,Tropical Urban Green Spaces
27.7,32.1,Urban Cool Roofs
31.6,40.9,Urban Cool Roofs
29.1,44.2,Urban Cool Roofs
27.2,61.1,Tropical Urban Green Spaces
28.7,38.6,Urban Cool Roofs
25.6,69.1,Tropical Urban Green Spaces
20.6,74.8,Tropical Urban Green Spaces
21.4,75.0,Tropical Urban Green Spaces
21.9,71.0,Tropical Urban Green Spaces
21.6,40.0,Mediterranean Drought Management
22.3,71.8,Tropical Urban Green Spaces
24.6,49.2,Mediterranean Drought Management
28.0,81.4,Tropical Storm Surge Defense
26.3,61.0,Tropical Urban Green Spaces
25.8,62.9,Tropical Urban Green Spaces
13.5,57.5,Sub-Arctic Summer Heat Management
15.7,51.4,Sub-Arctic Summer Heat Management
22.7,47.6,Mediterranean Drought Management
23.5,48.0,Mediterranean Drought Management
24.7,50.0,Mediterranean Drought Management
21.4,47.0,Mediterranean Drought Management
24.7,47.2,Mediterranean Drought Management
20.3,72.0,Tropical Urban Green Spaces
20.0,58.3,Sub-Arctic Summer Heat Management
18.5,62.3,Sub-Arctic Summer Heat Management
22.6,33.6,Mediterranean Drought Management
11.7,62.8,Sub-Arctic Summer Heat Management
