air_temp,aerosols,Land_Type
29.3,0.4288,Heat-Adapted Coastal Ecosystems
29.3,0.3399,Heat-Adapted Coastal Ecosystems
35.3,0.1938,Heat-Resilient Urban Infrastructure
34.4,0.343,Heat-Adapted Coastal Ecosystems
26.0,0.1287,Heat-Adapted Coastal Ecosystems
25.9,0.1929,Heat-Adapted Coastal Ecosystems
31.4,0.2206,Heat-Adapted Coastal Ecosystems
28.4,0.2149,Heat-Adapted Coastal Ecosystems
28.8,0.9696,Heat-Adapted Coastal Ecosystems
32.2,0.5566,Heat-Adapted Coastal Ecosystems
30.9,0.2413,Heat-Adapted Coastal Ecosystems
28.8,0.2964,Heat-Adapted Coastal Ecosystems
30.6,0.1991,Heat-Adapted Coastal Ecosystems
26.8,0.2217,Heat-Adapted Coastal Ecosystems
31.0,0.1981,Heat-Adapted Coastal Ecosystems
30.2,0.1914,Heat-Adapted Coastal Ecosystems
29.8,1.0024,Heat-Adapted Coastal Ecosystems
30.4,0.8477,Heat-Adapted Coastal Ecosystems
30.3,0.3494,Heat-Adapted Coastal Ecosystems
28.6,1.0655,Heat-Adapted Coastal Ecosystems
32.2,0.175,Heat-Adapted Coastal Ecosystems
31.7,1.2156,Heat-Adapted Coastal Ecosystems
32.6,0.1594,Heat-Adapted Coastal Ecosystems
30.9,0.3829,Heat-Adapted Coastal Ecosystems
32.3,0.4,Heat-Adapted Coastal Ecosystems
32.8,0.2171,Heat-Adapted Coastal Ecosystems
25.7,0.2139,Heat-Adapted Coastal Ecosystems
26.3,1.515,Heat-Adapted Coastal Ecosystems
31.6,0.1703,Heat-Adapted Coastal Ecosystems
29.9,0.1572,Heat-Adapted Coastal Ecosystems
26.9,1.597926982,Heat-Adapted Coastal Ecosystems
31.4,0.3715,Heat-Adapted Coastal Ecosystems
30.6,0.8686,Heat-Adapted Coastal Ecosystems
25.1,0.063,Heat-Adapted Coastal Ecosystems
25.3,0.0573,Heat-Adapted Coastal Ecosystems
28.8,0.1035,Heat-Adapted Coastal Ecosystems
29.1,0.1968,Heat-Adapted Coastal Ecosystems
32.3,0.8002,Heat-Adapted Coastal Ecosystems
32.9,0.2036,Heat-Adapted Coastal Ecosystems
34.6,0.0835,Heat-Adapted Coastal Ecosystems
29.0,0.152055094,Heat-Adapted Coastal Ecosystems
29.4,3.044930324,Urban Air Quality Monitoring Network
34.4,1.97614536,Heat-Adapted Coastal Ecosystems
24.8,3.034781956,Urban Air Quality Monitoring Network
35.0,0.4559269,Heat-Resilient Urban Infrastructure
32.1,0.32411635,Heat-Adapted Coastal Ecosystems
32.8,0.928400198,Heat-Adapted Coastal Ecosystems
33.4,3.304169009,Green Agriculture Initiatives
33.7,0.313926935,Heat-Adapted Coastal Ecosystems
32.3,0.905827935,Heat-Adapted Coastal Ecosystems
31.1,0.816511214,Heat-Adapted Coastal Ecosystems
31.9,0.754738641,Heat-Adapted Coastal Ecosystems
32.7,1.453419651,Heat-Adapted Coastal Ecosystems
32.6,1.102737793,Heat-Adapted Coastal Ecosystems
27.6,1.451281427,Heat-Adapted Coastal Ecosystems
32.5,1.815524118,Heat-Adapted Coastal Ecosystems
19.9,2.320631714,Wetland Carbon Sink Restoration
20.0,1.701235328,Wetland Carbon Sink Restoration
32.0,0.698918692,Heat-Adapted Coastal Ecosystems
32.6,0.916518679,Heat-Adapted Coastal Ecosystems
19.7,2.126428741,Wetland Carbon Sink Restoration
32.2,3.139147151,Green Agriculture Initiatives
24.2,3.009260991,Urban Air Quality Monitoring Network
20.0,3.262273447,Urban Air Quality Monitoring Network
25.9,0.243470055,Heat-Adapted Coastal Ecosystems
29.2,3.57300752,Urban Air Quality Monitoring Network
29.1,0.558034705,Heat-Adapted Coastal Ecosystems
28.4,1.642901758,Heat-Adapted Coastal Ecosystems
29.7,1.393430492,Heat-Adapted Coastal Ecosystems
29.4,1.928886104,Heat-Adapted Coastal Ecosystems
29.8,0.37401915,Heat-Adapted Coastal Ecosystems
30.3,1.871478495,Heat-Adapted Coastal Ecosystems
31.0,1.561111622,Heat-Adapted Coastal Ecosystems
39.8,2.619034025,Heat-Resilient Urban Infrastructure
33.3,1.568243585,Heat-Adapted Coastal Ecosystems
27.9,3.354250356,Urban Air Quality Monitoring Network
33.7,3.412767421,Green Agriculture Initiatives
33.4,1.38893214,Heat-Adapted Coastal Ecosystems
32.2,0.0394898,Heat-Adapted Coastal Ecosystems
28.0,1.842972334,Heat-Adapted Coastal Ecosystems
33.8,3.472381379,Green Agriculture Initiatives
33.2,1.413227327,Heat-Adapted Coastal Ecosystems
31.2,3.150202741,Green Agriculture Initiatives
34.0,1.297378565,Heat-Adapted Coastal Ecosystems
34.3,0.222871945,Heat-Adapted Coastal Ecosystems
32.1,3.095318714,Green Agriculture Initiatives
33.6,1.990953214,Heat-Adapted Coastal Ecosystems
33.6,3.573663951,Green Agriculture Initiatives
33.9,0.801771255,Heat-Adapted Coastal Ecosystems
33.6,1.359150877,Heat-Adapted Coastal Ecosystems
32.9,0.623369645,Heat-Adapted Coastal Ecosystems
33.2,1.768467265,Heat-Adapted Coastal Ecosystems
33.5,1.99893342,Heat-Adapted Coastal Ecosystems
31.7,1.721974942,Heat-Adapted Coastal Ecosystems
33.0,0.089148425,Heat-Adapted Coastal Ecosystems
32.8,3.01863646,Green Agriculture Initiatives
35.4,1.586162375,Heat-Resilient Urban Infrastructure
35.6,2.84750427,Heat-Resilient Urban Infrastructure
30.5,1.473427602,Heat-Adapted Coastal Ecosystems
32.7,1.345427525,Heat-Adapted Coastal Ecosystems
30.8,3.216419605,Green Agriculture Initiatives
31.3,1.65404073,Heat-Adapted Coastal Ecosystems
35.9,2.079036623,Heat-Resilient Urban Infrastructure
32.9,1.082009626,Heat-Adapted Coastal Ecosystems
27.9,3.04758341,Urban Air Quality Monitoring Network
27.8,0.245057286,Heat-Adapted Coastal Ecosystems
28.1,3.605336643,Urban Air Quality Monitoring Network
28.2,0.853186693,Heat-Adapted Coastal Ecosystems
28.9,1.458543946,Heat-Adapted Coastal Ecosystems
31.6,1.718713448,Heat-Adapted Coastal Ecosystems
21.1,3.291967954,Urban Air Quality Monitoring Network
28.8,0.054287711,Heat-Adapted Coastal Ecosystems
28.6,1.538057517,Heat-Adapted Coastal Ecosystems
30.9,3.495388983,Green Agriculture Initiatives
31.3,1.621145392,Heat-Adapted Coastal Ecosystems
28.3,3.558978129,Urban Air Quality Monitoring Network
28.9,0.390339034,Heat-Adapted Coastal Ecosystems
26.3,1.165232498,Heat-Adapted Coastal Ecosystems
28.9,3.258363438,Urban Air Quality Monitoring Network
29.6,3.097099449,Urban Air Quality Monitoring Network
25.8,3.510274504,Urban Air Quality Monitoring Network
19.6,2.617132781,Wetland Carbon Sink Restoration
10.7,2.62448071,Wetland Carbon Sink Restoration
16.7,1.835273512,Wetland Carbon Sink Restoration
25.3,1.842272284,Heat-Adapted Coastal Ecosystems
25.9,0.480500575,Heat-Adapted Coastal Ecosystems
2.2,1.997310064,Integrated Mountain Ecosystem Management
24.0,3.632593783,Urban Air Quality Monitoring Network
26.3,3.207698465,Urban Air Quality Monitoring Network
19.6,1.392658424,Wetland Carbon Sink Restoration
6.8,1.389037827,Integrated Mountain Ecosystem Management
16.2,1.707100263,Wetland Carbon Sink Restoration
12.4,2.511432489,Wetland Carbon Sink Restoration
14.9,2.734402243,Wetland Carbon Sink Restoration
19.2,1.438865064,Wetland Carbon Sink Restoration
18.5,1.253697739,Wetland Carbon Sink Restoration
19.9,2.236573849,Wetland Carbon Sink Restoration
10.7,2.316107879,Wetland Carbon Sink Restoration
14.0,1.216188606,Wetland Carbon Sink Restoration
13.8,1.740932117,Wetland Carbon Sink Restoration
13.2,1.613924045,Wetland Carbon Sink Restoration
22.8,3.350762922,Urban Air Quality Monitoring Network
13.8,1.724758659,Wetland Carbon Sink Restoration
3.2,1.672296049,Integrated Mountain Ecosystem Management
4.0,1.116042668,Integrated Mountain Ecosystem Management
4.1,0.596294526,High-Altitude Glacier Protection
39.7,3.015482038,Green Agriculture Initiatives
2.9,0.800398472,High-Altitude Glacier Protection
4.8,1.689617832,Integrated Mountain Ecosystem Management
5.4,1.483125611,Integrated Mountain Ecosystem Management
4.6,1.996320532,Integrated Mountain Ecosystem Management
3.3,0.520279878,High-Altitude Glacier Protection
11.2,1.811386981,Wetland Carbon Sink Restoration
18.4,1.499992985,Wetland Carbon Sink Restoration
10.0,1.552215236,Wetland Carbon Sink Restoration
18.9,2.55199144,Wetland Carbon Sink Restoration
22.2,3.20642911,Urban Air Quality Monitoring Network
18.9,2.960328591,Wetland Carbon Sink Restoration
11.7,2.927202839,Wetland Carbon Sink Restoration
18.2,1.749127281,Wetland Carbon Sink Restoration
19.2,1.716354713,Wetland Carbon Sink Restoration
18.6,2.022399664,Wetland Carbon Sink Restoration
12.9,2.172525643,Wetland Carbon Sink Restoration
20.7,3.054484342,Urban Air Quality Monitoring Network
2.3,0.179865373,High-Altitude Glacier Protection
16.5,2.716552849,Wetland Carbon Sink Restoration
14.2,2.593296527,Wetland Carbon Sink Restoration
13.6,2.239855059,Wetland Carbon Sink Restoration
14.2,1.496629046,Wetland Carbon Sink Restoration
14.6,1.886773701,Wetland Carbon Sink Restoration
13.0,2.802219419,Wetland Carbon Sink Restoration
11.3,1.9958149,Wetland Carbon Sink Restoration
14.8,1.739719341,Wetland Carbon Sink Restoration
15.4,2.678021735,Wetland Carbon Sink Restoration
16.4,2.515895012,Wetland Carbon Sink Restoration
14.9,2.943824765,Wetland Carbon Sink Restoration
16.9,1.564493891,Wetland Carbon Sink Restoration
9.9,1.562584077,Integrated Mountain Ecosystem Management
13.4,2.221241325,Wetland Carbon Sink Restoration
10.8,1.608824693,Wetland Carbon Sink Restoration
4.2,0.397384833,High-Altitude Glacier Protection
25.2,1.91340803,Heat-Adapted Coastal Ecosystems
26.1,1.419136099,Heat-Adapted Coastal Ecosystems
26.1,3.133498595,Urban Air Quality Monitoring Network
23.9,3.421470681,Urban Air Quality Monitoring Network
25.5,1.554177403,Heat-Adapted Coastal Ecosystems
25.8,0.115205647,Heat-Adapted Coastal Ecosystems
26.5,0.87359267,Heat-Adapted Coastal Ecosystems
25.9,0.997918915,Heat-Adapted Coastal Ecosystems
25.0,0.509629435,Heat-Adapted Coastal Ecosystems
25.6,3.544184072,Urban Air Quality Monitoring Network
13.6,2.063621341,Wetland Carbon Sink Restoration
13.7,2.020401794,Wetland Carbon Sink Restoration
14.7,2.234998856,Wetland Carbon Sink Restoration
19.0,1.323435201,Wetland Carbon Sink Restoration
20.7,3.403630597,Urban Air Quality Monitoring Network
22.2,3.076932767,Urban Air Quality Monitoring Network
21.0,3.33945975,Urban Air Quality Monitoring Network
23.5,3.430988829,Urban Air Quality Monitoring Network
18.4,2.476008376,Wetland Carbon Sink Restoration
23.8,3.237468865,Urban Air Quality Monitoring Network
23.6,3.593389009,Urban Air Quality Monitoring Network
19.9,1.232898338,Wetland Carbon Sink Restoration
26.2,0.566701496,Heat-Adapted Coastal Ecosystems
21.9,3.063751943,Urban Air Quality Monitoring Network
28.5,0.647479264,Heat-Adapted Coastal Ecosystems
28.1,0.955382027,Heat-Adapted Coastal Ecosystems
27.5,3.341594121,Urban Air Quality Monitoring Network
30.7,0.917779285,Heat-Adapted Coastal Ecosystems
29.3,0.95280462,Heat-Adapted Coastal Ecosystems
29.1,1.989301378,Heat-Adapted Coastal Ecosystems
30.9,3.374477822,Green Agriculture Initiatives
32.2,3.250586752,Green Agriculture Initiatives
31.0,1.892302361,Heat-Adapted Coastal Ecosystems
27.8,1.91501552,Heat-Adapted Coastal Ecosystems
23.9,3.313461751,Urban Air Quality Monitoring Network
27.4,0.563475347,Heat-Adapted Coastal Ecosystems
27.8,1.402234015,Heat-Adapted Coastal Ecosystems
17.0,2.396834533,Wetland Carbon Sink Restoration
19.3,1.540637062,Wetland Carbon Sink Restoration
17.3,2.370303801,Wetland Carbon Sink Restoration
18.9,2.584674459,Wetland Carbon Sink Restoration
26.9,0.90126529,Heat-Adapted Coastal Ecosystems
24.4,3.471704129,Urban Air Quality Monitoring Network
19.0,1.86837344,Wetland Carbon Sink Restoration
18.1,2.002705616,Wetland Carbon Sink Restoration
26.3,0.883424822,Heat-Adapted Coastal Ecosystems
25.3,3.588037923,Urban Air Quality Monitoring Network
21.9,3.136083179,Urban Air Quality Monitoring Network
22.7,3.386908145,Urban Air Quality Monitoring Network
19.6,1.584425733,Wetland Carbon Sink Restoration
30.7,1.544131242,Heat-Adapted Coastal Ecosystems
31.0,0.823433003,Heat-Adapted Coastal Ecosystems
18.9,2.252046357,Wetland Carbon Sink Restoration
26.4,0.635463946,Heat-Adapted Coastal Ecosystems
29.7,1.160242187,Heat-Adapted Coastal Ecosystems
23.9,3.57772644,Urban Air Quality Monitoring Network
28.8,3.308939074,Urban Air Quality Monitoring Network
18.8,2.501826961,Wetland Carbon Sink Restoration
28.1,1.791322828,Heat-Adapted Coastal Ecosystems
18.0,2.090176692,Wetland Carbon Sink Restoration
17.8,1.652928388,Wetland Carbon Sink Restoration
26.9,1.62442344,Heat-Adapted Coastal Ecosystems
25.1,1.283511499,Heat-Adapted Coastal Ecosystems
27.3,0.871288801,Heat-Adapted Coastal Ecosystems
28.6,1.7724996,Heat-Adapted Coastal Ecosystems
22.2,3.470739392,Urban Air Quality Monitoring Network
26.6,3.080628339,Urban Air Quality Monitoring Network
29.4,1.71018062,Heat-Adapted Coastal Ecosystems
27.3,3.159046067,Urban Air Quality Monitoring Network
26.0,1.255546166,Heat-Adapted Coastal Ecosystems
28.2,1.402664383,Heat-Adapted Coastal Ecosystems
27.2,0.820346722,Heat-Adapted Coastal Ecosystems
27.5,1.237208776,Heat-Adapted Coastal Ecosystems
26.2,3.213213319,Urban Air Quality Monitoring Network
27.1,0.764428849,Heat-Adapted Coastal Ecosystems
19.9,2.133643608,Wetland Carbon Sink Restoration
27.8,0.51968846,Heat-Adapted Coastal Ecosystems
25.7,0.32502985,Heat-Adapted Coastal Ecosystems
30.9,0.74009955,Heat-Adapted Coastal Ecosystems
26.2,1.11877419,Heat-Adapted Coastal Ecosystems
32.1,0.293758298,Heat-Adapted Coastal Ecosystems
32.1,1.436330898,Heat-Adapted Coastal Ecosystems
24.8,3.026867325,Urban Air Quality Monitoring Network
33.3,0.825997594,Heat-Adapted Coastal Ecosystems
32.5,1.037252771,Heat-Adapted Coastal Ecosystems
30.9,0.84827711,Heat-Adapted Coastal Ecosystems
32.4,1.554201185,Heat-Adapted Coastal Ecosystems
33.2,0.557670789,Heat-Adapted Coastal Ecosystems
33.1,3.546362369,Green Agriculture Initiatives
27.6,1.689876057,Heat-Adapted Coastal Ecosystems
27.4,1.82477495,Heat-Adapted Coastal Ecosystems
26.9,0.990529583,Heat-Adapted Coastal Ecosystems
29.0,0.769263182,Heat-Adapted Coastal Ecosystems
29.0,3.22678403,Urban Air Quality Monitoring Network
29.2,1.755707268,Heat-Adapted Coastal Ecosystems
27.7,1.735051863,Heat-Adapted Coastal Ecosystems
27.6,3.54091637,Urban Air Quality Monitoring Network
27.7,3.613112527,Urban Air Quality Monitoring Network
29.1,1.6806134,Heat-Adapted Coastal Ecosystems
27.7,3.56735094,Urban Air Quality Monitoring Network
25.6,0.023075404,Heat-Adapted Coastal Ecosystems
25.4,1.402159032,Heat-Adapted Coastal Ecosystems
30.8,0.6246251,Heat-Adapted Coastal Ecosystems
28.9,1.012163363,Heat-Adapted Coastal Ecosystems
30.8,1.343575174,Heat-Adapted Coastal Ecosystems
21.9,3.431579393,Urban Air Quality Monitoring Network
30.4,1.105315342,Heat-Adapted Coastal Ecosystems
29.2,0.841109647,Heat-Adapted Coastal Ecosystems
28.7,1.443742325,Heat-Adapted Coastal Ecosystems
29.5,0.075305879,Heat-Adapted Coastal Ecosystems
32.7,3.463909715,Green Agriculture Initiatives
29.5,3.079253197,Urban Air Quality Monitoring Network
26.2,0.740534833,Heat-Adapted Coastal Ecosystems
31.7,1.315626337,Heat-Adapted Coastal Ecosystems
32.1,1.814220371,Heat-Adapted Coastal Ecosystems
29.0,3.357858478,Urban Air Quality Monitoring Network
28.7,0.856269831,Heat-Adapted Coastal Ecosystems
32.6,0.009516062,Heat-Adapted Coastal Ecosystems
31.4,0.14351374,Heat-Adapted Coastal Ecosystems
31.5,1.546924319,Heat-Adapted Coastal Ecosystems
31.9,1.961464991,Heat-Adapted Coastal Ecosystems
29.1,3.257287197,Urban Air Quality Monitoring Network
32.7,0.02480484,Heat-Adapted Coastal Ecosystems
31.8,3.648597077,Green Agriculture Initiatives
33.7,0.392607899,Heat-Adapted Coastal Ecosystems
33.6,0.947801337,Heat-Adapted Coastal Ecosystems
33.1,3.023765809,Green Agriculture Initiatives
33.1,1.757545586,Heat-Adapted Coastal Ecosystems
34.2,0.531283321,Heat-Adapted Coastal Ecosystems
32.6,0.828836185,Heat-Adapted Coastal Ecosystems
31.3,0.820859447,Heat-Adapted Coastal Ecosystems
30.1,3.455676494,Green Agriculture Initiatives
30.6,0.382298647,Heat-Adapted Coastal Ecosystems
31.5,1.404447579,Heat-Adapted Coastal Ecosystems
28.1,0.680329781,Heat-Adapted Coastal Ecosystems
32.4,0.328580437,Heat-Adapted Coastal Ecosystems
31.2,1.979337089,Heat-Adapted Coastal Ecosystems
29.4,0.058336482,Heat-Adapted Coastal Ecosystems
31.6,0.217793485,Heat-Adapted Coastal Ecosystems
31.1,1.305207725,Heat-Adapted Coastal Ecosystems
29.6,0.828836647,Heat-Adapted Coastal Ecosystems
30.3,0.646090165,Heat-Adapted Coastal Ecosystems
33.1,0.151913898,Heat-Adapted Coastal Ecosystems
31.4,0.020097566,Heat-Adapted Coastal Ecosystems
26.3,3.481792184,Urban Air Quality Monitoring Network
32.3,3.351938039,Green Agriculture Initiatives
32.9,1.329057916,Heat-Adapted Coastal Ecosystems
32.8,0.125076438,Heat-Adapted Coastal Ecosystems
33.5,1.695336236,Heat-Adapted Coastal Ecosystems
34.7,0.075041145,Heat-Adapted Coastal Ecosystems
34.9,3.480660865,Green Agriculture Initiatives
36.2,2.404142415,Heat-Resilient Urban Infrastructure
35.7,1.011153209,Heat-Resilient Urban Infrastructure
38.1,1.522161529,Heat-Resilient Urban Infrastructure
38.6,0.416242607,Heat-Resilient Urban Infrastructure
36.9,1.350049075,Heat-Resilient Urban Infrastructure
38.6,1.949686019,Heat-Resilient Urban Infrastructure
38.6,0.742785403,Heat-Resilient Urban Infrastructure
38.9,2.267722246,Heat-Resilient Urban Infrastructure
30.3,1.642047064,Heat-Adapted Coastal Ecosystems
36.6,1.864935152,Heat-Resilient Urban Infrastructure
33.8,0.847124163,Heat-Adapted Coastal Ecosystems
26.5,0.030322427,Heat-Adapted Coastal Ecosystems
29.8,0.343468003,Heat-Adapted Coastal Ecosystems
35.5,2.858633145,Heat-Resilient Urban Infrastructure
24.3,3.579079366,Urban Air Quality Monitoring Network
27.2,1.605973736,Heat-Adapted Coastal Ecosystems
27.9,0.149346496,Heat-Adapted Coastal Ecosystems
26.2,0.100418925,Heat-Adapted Coastal Ecosystems
32.3,0.530809289,Heat-Adapted Coastal Ecosystems
27.4,1.350465592,Heat-Adapted Coastal Ecosystems
32.9,0.503187683,Heat-Adapted Coastal Ecosystems
28.4,0.491296273,Heat-Adapted Coastal Ecosystems
31.8,1.466945576,Heat-Adapted Coastal Ecosystems
35.1,2.182389816,Heat-Resilient Urban Infrastructure
33.3,1.220988526,Heat-Adapted Coastal Ecosystems
33.0,1.16276906,Heat-Adapted Coastal Ecosystems
33.3,0.748268743,Heat-Adapted Coastal Ecosystems
34.9,3.33405527,Green Agriculture Initiatives
37.9,2.01165916,Heat-Resilient Urban Infrastructure
32.0,0.902451802,Heat-Adapted Coastal Ecosystems
30.3,0.635740774,Heat-Adapted Coastal Ecosystems
32.1,0.074942316,Heat-Adapted Coastal Ecosystems
33.8,0.560568331,Heat-Adapted Coastal Ecosystems
36.3,3.11347954,Green Agriculture Initiatives
35.0,2.923181335,Heat-Resilient Urban Infrastructure
36.4,3.241673279,Green Agriculture Initiatives
38.7,0.067354322,Heat-Resilient Urban Infrastructure
38.3,2.497814604,Heat-Resilient Urban Infrastructure
35.1,1.371037592,Heat-Resilient Urban Infrastructure
38.3,3.329668575,Green Agriculture Initiatives
38.9,3.178374401,Green Agriculture Initiatives
35.4,1.376094192,Heat-Resilient Urban Infrastructure
29.4,1.683981246,Heat-Adapted Coastal Ecosystems
28.1,1.631304121,Heat-Adapted Coastal Ecosystems
16.9,2.472978968,Wetland Carbon Sink Restoration
31.6,3.040831095,Green Agriculture Initiatives
31.6,1.623349464,Heat-Adapted Coastal Ecosystems
31.0,3.133260328,Green Agriculture Initiatives
31.9,1.871252764,Heat-Adapted Coastal Ecosystems
31.6,0.387075994,Heat-Adapted Coastal Ecosystems
30.1,3.15556594,Green Agriculture Initiatives
27.1,3.541554994,Urban Air Quality Monitoring Network
31.2,0.871611608,Heat-Adapted Coastal Ecosystems
28.9,0.649356614,Heat-Adapted Coastal Ecosystems
30.9,0.603465205,Heat-Adapted Coastal Ecosystems
27.7,1.926390305,Heat-Adapted Coastal Ecosystems
30.7,1.137525004,Heat-Adapted Coastal Ecosystems
30.0,1.173264994,Heat-Adapted Coastal Ecosystems
32.4,1.129031161,Heat-Adapted Coastal Ecosystems
28.9,0.959466148,Heat-Adapted Coastal Ecosystems
34.4,3.598660246,Green Agriculture Initiatives
31.5,3.529943937,Green Agriculture Initiatives
30.3,0.410446268,Heat-Adapted Coastal Ecosystems
34.2,3.433229854,Green Agriculture Initiatives
34.4,1.23097119,Heat-Adapted Coastal Ecosystems
28.7,1.069177881,Heat-Adapted Coastal Ecosystems
30.8,0.159343628,Heat-Adapted Coastal Ecosystems
31.3,0.278506586,Heat-Adapted Coastal Ecosystems
27.8,3.090511677,Urban Air Quality Monitoring Network
29.6,3.291357247,Urban Air Quality Monitoring Network
27.8,3.612474414,Urban Air Quality Monitoring Network
33.7,3.572998653,Green Agriculture Initiatives
29.6,3.385284571,Urban Air Quality Monitoring Network
32.0,0.682744886,Heat-Adapted Coastal Ecosystems
30.6,3.281585444,Green Agriculture Initiatives
25.0,0.75489574,Heat-Adapted Coastal Ecosystems
30.3,3.524660572,Green Agriculture Initiatives
30.3,1.020063107,Heat-Adapted Coastal Ecosystems
26.3,0.326284851,Heat-Adapted Coastal Ecosystems
26.3,3.111230483,Urban Air Quality Monitoring Network
19.7,2.499775096,Wetland Carbon Sink Restoration
26.0,1.629535158,Heat-Adapted Coastal Ecosystems
27.4,1.574728068,Heat-Adapted Coastal Ecosystems
31.1,3.136780868,Green Agriculture Initiatives
27.8,1.077138012,Heat-Adapted Coastal Ecosystems
26.0,0.471374048,Heat-Adapted Coastal Ecosystems
27.2,1.385265351,Heat-Adapted Coastal Ecosystems
29.9,1.892663405,Heat-Adapted Coastal Ecosystems
29.7,0.73535445,Heat-Adapted Coastal Ecosystems
28.6,3.581033316,Urban Air Quality Monitoring Network
28.2,0.498977537,Heat-Adapted Coastal Ecosystems
25.1,1.05418512,Heat-Adapted Coastal Ecosystems
31.1,0.38491745,Heat-Adapted Coastal Ecosystems
32.6,3.586098065,Green Agriculture Initiatives
26.1,3.154315569,Urban Air Quality Monitoring Network
33.0,1.795015498,Heat-Adapted Coastal Ecosystems
33.2,1.947795931,Heat-Adapted Coastal Ecosystems
31.1,0.774276859,Heat-Adapted Coastal Ecosystems
15.8,1.859415485,Wetland Carbon Sink Restoration
32.8,0.060439624,Heat-Adapted Coastal Ecosystems
